Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.2,0.8333,1.0,1.0,0.8333,1.2,0.0,0.0
1.44,0.6944,2.2,0.4545,1.5278,0.6545,0.4545,0.6944
1.728,0.5787,3.64,0.2747,2.1065,0.4747,0.8791,1.8519
2.0736,0.4823,5.368,0.1863,2.5887,0.3863,1.2742,3.2986
2.4883,0.4019,7.4416,0.1344,2.9906,0.3344,1.6405,4.9061
2.986,0.3349,9.9299,0.1007,3.3255,0.3007,1.9788,6.5806
3.5832,0.2791,12.9159,0.0774,3.6046,0.2774,2.2902,8.2551
4.2998,0.2326,16.4991,0.0606,3.8372,0.2606,2.5756,9.8831
5.1598,0.1938,20.7989,0.0481,4.031,0.2481,2.8364,11.4335
6.1917,0.1615,25.9587,0.0385,4.1925,0.2385,3.0739,12.8871
7.4301,0.1346,32.1504,0.0311,4.3271,0.2311,3.2893,14.233
8.9161,0.1122,39.5805,0.0253,4.4392,0.2253,3.4841,15.4667
10.6993,0.0935,48.4966,0.0206,4.5327,0.2206,3.6597,16.5883
12.8392,0.0779,59.1959,0.0169,4.6106,0.2169,3.8175,17.6008
15.407,0.0649,72.0351,0.0139,4.6755,0.2139,3.9588,18.5095
18.4884,0.0541,87.4421,0.0114,4.7296,0.2114,4.0851,19.3208
22.1861,0.0451,105.9306,0.0094,4.7746,0.2094,4.1976,20.0419
26.6233,0.0376,128.1167,0.0078,4.8122,0.2078,4.2975,20.6805
31.948,0.0313,154.74,0.0065,4.8435,0.2065,4.3861,21.2439
38.3376,0.0261,186.688,0.0054,4.8696,0.2054,4.4643,21.7395
46.0051,0.0217,225.0256,0.0044,4.8913,0.2044,4.5334,22.1742
55.2061,0.0181,271.0307,0.0037,4.9094,0.2037,4.5941,22.5546
66.2474,0.0151,326.2369,0.0031,4.9245,0.2031,4.6475,22.8867
79.4968,0.0126,392.4842,0.0025,4.9371,0.2025,4.6943,23.176
95.3962,0.0105,471.9811,0.0021,4.9476,0.2021,4.7352,23.4276
114.4755,0.0087,567.3773,0.0018,4.9563,0.2018,4.7709,23.646
137.3706,0.0073,681.8528,0.0015,4.9636,0.2015,4.802,23.8353
164.8447,0.0061,819.2233,0.0012,4.9697,0.2012,4.8291,23.9991
197.8136,0.0051,984.068,0.001,4.9747,0.201,4.8527,24.1406
237.3763,0.0042,1181.8816,0.0008,4.9789,0.2008,4.8731,24.2628
284.8516,0.0035,1419.2579,0.0007,4.9824,0.2007,4.8908,24.3681
341.8219,0.0029,1704.1095,0.0006,4.9854,0.2006,4.9061,24.4588
410.1863,0.0024,2045.9314,0.0005,4.9878,0.2005,4.9194,24.5368
492.2235,0.002,2456.1176,0.0004,4.9898,0.2004,4.9308,24.6038
590.6682,0.0017,2948.3411,0.0003,4.9915,0.2003,4.9406,24.6614
1469.7716,0.0007,7343.8578,0.0001,4.9966,0.2001,4.9728,24.8469
3657.262,0.0003,18281.3099,0.0001,4.9986,0.2001,4.9877,24.9316
