Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.1,0.9091,1.0,1.0,0.9091,1.1,0.0,0.0
1.21,0.8264,2.1,0.4762,1.7355,0.5762,0.4762,0.8264
1.331,0.7513,3.31,0.3021,2.4869,0.4021,0.9366,2.3291
1.4641,0.683,4.641,0.2155,3.1699,0.3155,1.3812,4.3781
1.6105,0.6209,6.1051,0.1638,3.7908,0.2638,1.8101,6.8618
1.7716,0.5645,7.7156,0.1296,4.3553,0.2296,2.2236,9.6842
1.9487,0.5132,9.4872,0.1054,4.8684,0.2054,2.6216,12.7631
2.1436,0.4665,11.4359,0.0874,5.3349,0.1874,3.0045,16.0287
2.3579,0.4241,13.5795,0.0736,5.759,0.1736,3.3724,19.4215
2.5937,0.3855,15.9374,0.0627,6.1446,0.1627,3.7255,22.8913
2.8531,0.3505,18.5312,0.054,6.4951,0.154,4.0641,26.3963
3.1384,0.3186,21.3843,0.0468,6.8137,0.1468,4.3884,29.9012
3.4523,0.2897,24.5227,0.0408,7.1034,0.1408,4.6988,33.3772
3.7975,0.2633,27.975,0.0357,7.3667,0.1357,4.9955,36.8005
4.1772,0.2394,31.7725,0.0315,7.6061,0.1315,5.2789,40.152
4.595,0.2176,35.9497,0.0278,7.8237,0.1278,5.5493,43.4164
5.0545,0.1978,40.5447,0.0247,8.0216,0.1247,5.8071,46.5819
5.5599,0.1799,45.5992,0.0219,8.2014,0.1219,6.0526,49.6395
6.1159,0.1635,51.1591,0.0195,8.3649,0.1195,6.2861,52.5827
6.7275,0.1486,57.275,0.0175,8.5136,0.1175,6.5081,55.4069
7.4002,0.1351,64.0025,0.0156,8.6487,0.1156,6.7189,58.1095
8.1403,0.1228,71.4027,0.014,8.7715,0.114,6.9189,60.6893
8.9543,0.1117,79.543,0.0126,8.8832,0.1126,7.1085,63.1462
9.8497,0.1015,88.4973,0.0113,8.9847,0.1113,7.2881,65.4813
10.8347,0.0923,98.3471,0.0102,9.077,0.1102,7.458,67.6964
11.9182,0.0839,109.1818,0.0092,9.1609,0.1092,7.6186,69.794
13.11,0.0763,121.0999,0.0083,9.2372,0.1083,7.7704,71.7773
14.421,0.0693,134.2099,0.0075,9.3066,0.1075,7.9137,73.6495
15.8631,0.063,148.6309,0.0067,9.3696,0.1067,8.0489,75.4146
17.4494,0.0573,164.494,0.0061,9.4269,0.1061,8.1762,77.0766
19.1943,0.0521,181.9434,0.0055,9.479,0.1055,8.2962,78.6395
21.1138,0.0474,201.1378,0.005,9.5264,0.105,8.4091,80.1078
23.2252,0.0431,222.2515,0.0045,9.5694,0.1045,8.5152,81.4856
25.5477,0.0391,245.4767,0.0041,9.6086,0.1041,8.6149,82.7773
28.1024,0.0356,271.0244,0.0037,9.6442,0.1037,8.7086,83.9872
45.2593,0.0221,442.5926,0.0023,9.7791,0.1023,9.0962,88.9525
72.8905,0.0137,718.9048,0.0014,9.8628,0.1014,9.374,92.4544
117.3909,0.0085,1163.9085,0.0009,9.9148,0.1009,9.5704,94.8889
189.0591,0.0053,1880.5914,0.0005,9.9471,0.1005,9.7075,96.5619
304.4816,0.0033,3034.8164,0.0003,9.9672,0.1003,9.8023,97.701
490.3707,0.002,4893.7073,0.0002,9.9796,0.1002,9.8672,98.4705
789.747,0.0013,7887.4696,0.0001,9.9873,0.1001,9.9113,98.987
1271.8954,0.0008,12708.9537,0.0001,9.9921,0.1001,9.941,99.3317
2048.4002,0.0005,20474.0021,0.0,9.9951,0.1,9.9609,99.5606
3298.969,0.0003,32979.6903,0.0,9.997,0.1,9.9742,99.712
5313.0226,0.0002,53120.2261,0.0,9.9981,0.1,9.9831,99.8118
8556.676,0.0001,85556.7605,0.0,9.9988,0.1,9.9889,99.8773
13780.6123,0.0001,137796.1234,0.0,9.9993,0.1,9.9927,99.9202
