Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.25,0.8,1.0,1.0,0.8,1.25,0.0,0.0
1.5625,0.64,2.25,0.4444,1.44,0.6944,0.4444,0.64
1.9531,0.512,3.8125,0.2623,1.952,0.5123,0.8525,1.664
2.4414,0.4096,5.7656,0.1734,2.3616,0.4234,1.2249,2.8928
3.0518,0.3277,8.207,0.1218,2.6893,0.3718,1.5631,4.2035
3.8147,0.2621,11.2588,0.0888,2.9514,0.3388,1.8683,5.5142
4.7684,0.2097,15.0735,0.0663,3.1611,0.3163,2.1424,6.7725
5.9605,0.1678,19.8419,0.0504,3.3289,0.3004,2.3872,7.9469
7.4506,0.1342,25.8023,0.0388,3.4631,0.2888,2.6048,9.0207
9.3132,0.1074,33.2529,0.0301,3.5705,0.2801,2.7971,9.987
11.6415,0.0859,42.5661,0.0235,3.6564,0.2735,2.9663,10.846
14.5519,0.0687,54.2077,0.0184,3.7251,0.2684,3.1145,11.602
18.1899,0.055,68.7596,0.0145,3.7801,0.2645,3.2437,12.2617
22.7374,0.044,86.9495,0.0115,3.8241,0.2615,3.3559,12.8334
28.4217,0.0352,109.6868,0.0091,3.8593,0.2591,3.453,13.326
35.5271,0.0281,138.1085,0.0072,3.8874,0.2572,3.5366,13.7482
44.4089,0.0225,173.6357,0.0058,3.9099,0.2558,3.6084,14.1085
55.5112,0.018,218.0446,0.0046,3.9279,0.2546,3.6698,14.4147
69.3889,0.0144,273.5558,0.0037,3.9424,0.2537,3.7222,14.6741
86.7362,0.0115,342.9447,0.0029,3.9539,0.2529,3.7667,14.8932
108.4202,0.0092,429.6809,0.0023,3.9631,0.2523,3.8045,15.0777
135.5253,0.0074,538.1011,0.0019,3.9705,0.2519,3.8365,15.2326
169.4066,0.0059,673.6264,0.0015,3.9764,0.2515,3.8634,15.3625
211.7582,0.0047,843.0329,0.0012,3.9811,0.2512,3.8861,15.4711
264.6978,0.0038,1054.7912,0.0009,3.9849,0.2509,3.9052,15.5618
330.8722,0.003,1319.489,0.0008,3.9879,0.2508,3.9212,15.6373
413.5903,0.0024,1650.3612,0.0006,3.9903,0.2506,3.9346,15.7002
516.9879,0.0019,2063.9515,0.0005,3.9923,0.2505,3.9457,15.7524
646.2349,0.0015,2580.9394,0.0004,3.9938,0.2504,3.9551,15.7957
807.7936,0.0012,3227.1743,0.0003,3.995,0.2503,3.9628,15.8316
1009.742,0.001,4034.9678,0.0002,3.996,0.2502,3.9693,15.8614
1262.1774,0.0008,5044.7098,0.0002,3.9968,0.2502,3.9746,15.8859
1577.7218,0.0006,6306.8872,0.0002,3.9975,0.2502,3.9791,15.9062
1972.1523,0.0005,7884.6091,0.0001,3.998,0.2501,3.9828,15.9229
2465.1903,0.0004,9856.7613,0.0001,3.9984,0.2501,3.9858,15.9367
7523.1638,0.0001,30088.6554,0.0,3.9995,0.25,3.9947,15.9766
