Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.16,0.8621,1.0,1.0,0.8621,1.16,0.0,0.0
1.3456,0.7432,2.16,0.463,1.6052,0.623,0.463,0.7432
1.5609,0.6407,3.5056,0.2853,2.2459,0.4453,0.9014,2.0245
1.8106,0.5523,5.0665,0.1974,2.7982,0.3574,1.3156,3.6814
2.1003,0.4761,6.8771,0.1454,3.2743,0.3054,1.706,5.5858
2.4364,0.4104,8.9775,0.1114,3.6847,0.2714,2.0729,7.638
2.8262,0.3538,11.4139,0.0876,4.0386,0.2476,2.4169,9.761
3.2784,0.305,14.2401,0.0702,4.3436,0.2302,2.7388,11.8962
3.803,0.263,17.5185,0.0571,4.6065,0.2171,3.0391,13.9998
4.4114,0.2267,21.3215,0.0469,4.8332,0.2069,3.3187,16.0399
5.1173,0.1954,25.7329,0.0389,5.0286,0.1989,3.5783,17.9941
5.936,0.1685,30.8502,0.0324,5.1971,0.1924,3.8189,19.8472
6.8858,0.1452,36.7862,0.0272,5.3423,0.1872,4.0413,21.5899
7.9875,0.1252,43.672,0.0229,5.4675,0.1829,4.2464,23.2175
9.2655,0.1079,51.6595,0.0194,5.5755,0.1794,4.4352,24.7284
10.748,0.093,60.965,0.0164,5.6685,0.1764,4.6086,26.1241
12.4677,0.0802,71.673,0.014,5.7487,0.174,4.7676,27.4074
14.4625,0.0691,84.1407,0.0119,5.8178,0.1719,4.913,28.5828
16.7765,0.0596,98.6032,0.0101,5.8775,0.1701,5.0457,29.6557
19.4608,0.0514,115.3797,0.0087,5.9288,0.1687,5.1666,30.6321
22.5745,0.0443,134.8405,0.0074,5.9731,0.1674,5.2766,31.518
26.1864,0.0382,157.415,0.0064,6.0113,0.1664,5.3765,32.32
30.3762,0.0329,183.6014,0.0054,6.0442,0.1654,5.4671,33.0442
35.2364,0.0284,213.9776,0.0047,6.0726,0.1647,5.549,33.697
40.8742,0.0245,249.214,0.004,6.0971,0.164,5.623,34.2841
47.4141,0.0211,290.0883,0.0034,6.1182,0.1634,5.6898,34.8114
55.0004,0.0182,337.5024,0.003,6.1364,0.163,5.75,35.2841
63.8004,0.0157,392.5028,0.0025,6.152,0.1625,5.8041,35.7073
74.0085,0.0135,456.3032,0.0022,6.1656,0.1622,5.8528,36.0856
85.8499,0.0116,530.3117,0.0019,6.1772,0.1619,5.8964,36.4234
99.5859,0.01,616.1616,0.0016,6.1872,0.1616,5.9356,36.7247
115.5196,0.0087,715.7475,0.0014,6.1959,0.1614,5.9706,36.993
134.0027,0.0075,831.2671,0.0012,6.2034,0.1612,6.0019,27.2318
155.4432,0.0064,965.2698,0.001,6.2098,0.161,6.0299,37.4441
180.3141,0.0055,1120.713,0.0009,6.2153,0.1609,6.0548,37.6327
378.7212,0.0026,2360.7572,0.0004,6.2335,0.1604,6.1441,38.2992
795.4438,0.0013,4965.2739,0.0002,6.2421,0.1602,6.1934,38.6598
1670.7038,0.0006,10435.6488,0.0001,6.2463,0.1601,6.2201,38.8521
