Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.4,0.7143,1.0,1.0,0.7143,1.4,0.0,0.0
1.96,0.5102,2.4,0.4167,1.2245,0.8167,0.4167,0.5102
2.744,0.3644,4.36,0.2294,1.5889,0.6294,0.7798,1.2391
3.8416,0.2603,7.104,0.1408,1.8492,0.5408,1.0923,2.02
5.3782,0.1859,10.9456,0.0914,2.0352,0.4914,1.358,2.7637
7.5295,0.1328,16.3238,0.0613,2.168,0.4613,1.5811,3.4278
10.5414,0.0949,23.8534,0.0419,2.2628,0.4419,1.7664,3.997
14.7579,0.0678,34.3947,0.0291,2.3306,0.4291,1.9185,4.4713
20.661,0.0484,49.1526,0.0203,2.379,0.4203,2.0422,4.8585
28.9255,0.0346,69.8137,0.0143,2.4136,0.4143,2.1419,5.1696
40.4957,0.0247,98.7391,0.0101,2.4383,0.4101,2.2215,5.4166
56.6939,0.0176,139.2348,0.0072,2.4559,0.4072,2.2845,5.6106
79.3715,0.0126,195.9287,0.0051,2.4685,0.4051,2.3341,5.7618
111.1201,0.009,275.3002,0.0036,2.4775,0.4036,2.3729,5.8788
155.5681,0.0064,386.4202,0.0026,2.4839,0.4026,2.403,5.9688
217.7953,0.0046,541.9883,0.0018,2.4885,0.4018,2.4262,6.0376
304.9135,0.0033,759.7837,0.0013,2.4918,0.4013,2.4441,6.0901
426.8789,0.0023,1064.6971,0.0009,2.4941,0.4009,2.4577,6.1299
597.6304,0.0017,1491.576,0.0007,2.4958,0.4007,2.4682,6.1601
836.6826,0.0012,2089.2064,0.0005,2.497,0.4005,2.4761,6.1828
1171.3556,0.0009,2925.8889,0.0003,2.4979,0.4003,2.4821,6.1998
1639.8978,0.0006,4097.2445,0.0002,2.4985,0.4002,2.4866,6.2127
2295.8569,0.0004,5737.1423,0.0002,2.4989,0.4002,2.49,6.2222
3214.1997,0.0003,8032.9993,0.0001,2.4992,0.4001,2.4925,6.2294
4499.8796,0.0002,11247.199,0.0001,2.4994,0.4001,2.4944,6.2347
6299.8314,0.0002,15747.0785,0.0001,2.4996,0.4001,2.4959,6.2387
8819.764,0.0001,22046.9099,0.0,2.4997,0.4,2.4969,6.2416
12347.6696,0.0001,30866.6739,0.0,2.4998,0.4,2.4977,6.2438
17286.7374,0.0001,43214.3435,0.0,2.4999,0.4,2.4983,6.2454
24201.4324,0.0,60501.0809,0.0,2.4999,0.4,2.4988,6.2466
