Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.01,0.9901,1.0,1.0,0.9901,1.01,0.0,0.0
1.0201,0.9803,2.01,0.4975,1.9704,0.5075,0.4975,0.9803
1.0303,0.9706,3.0301,0.33,2.941,0.34,0.9934,2.9215
1.0406,0.961,4.0604,0.2463,3.902,0.2563,1.4876,5.8044
1.051,0.9515,5.101,0.196,4.8534,0.206,1.9801,9.6103
1.0615,0.942,6.152,0.1625,5.7955,0.1725,2.471,14.3205
1.0721,0.9327,7.2135,0.1386,6.7282,0.1486,2.9602,19.9168
1.0829,0.9235,8.2857,0.1207,7.6517,0.1307,3.4478,26.3812
1.0937,0.9143,9.3685,0.1067,8.566,0.1167,3.9337,33.6959
1.1046,0.9053,10.4622,0.0956,9.4713,0.1056,4.4179,41.8435
1.1157,0.8963,11.5668,0.0865,10.3676,0.0965,4.9005,50.8067
1.1268,0.8874,12.6825,0.0788,11.2551,0.0888,5.3815,60.5687
1.1381,0.8787,13.8093,0.0724,12.1337,0.0824,5.8607,71.1126
1.1495,0.87,14.9474,0.0669,13.0037,0.0769,6.3384,82.4221
1.161,0.8613,16.0969,0.0621,13.8651,0.0721,6.8143,94.481
1.1726,0.8528,17.2579,0.0579,14.7179,0.0679,7.2886,107.2734
1.1843,0.8444,18.4304,0.0543,15.5623,0.0643,7.7613,120.7834
1.1961,0.836,19.6147,0.051,16.3983,0.061,8.2323,134.9957
1.2081,0.8277,20.8109,0.0481,17.226,0.0581,8.7017,149.895
1.2202,0.8195,22.019,0.0454,18.0456,0.0554,9.1694,165.4664
1.2324,0.8114,23.2392,0.043,18.857,0.053,9.6354,181.695
1.2447,0.8034,24.4716,0.0409,19.6604,0.0509,10.0998,198.5663
1.2572,0.7954,25.7163,0.0389,20.4558,0.0489,10.5626,216.066
1.2697,0.7876,26.9735,0.0371,21.2434,0.0471,11.0237,234.18
1.2824,0.7798,28.2432,0.0354,22.0232,0.0454,11.4831,252.8945
1.2953,0.772,29.5256,0.0339,22.7952,0.0439,11.9409,272.1957
1.3082,0.7644,30.8209,0.0324,23.5596,0.0424,12.3971,292.0702
1.3213,0.7568,32.1291,0.0311,24.3164,0.0411,12.8516,312.5047
1.3345,0.7493,33.4504,0.0299,25.0658,0.0399,13.3044,333.4863
1.3478,0.7419,34.7849,0.0287,25.8077,0.0387,13.7557,355.0021
1.3613,0.7346,36.1327,0.0277,26.5423,0.0377,14.2052,377.0394
1.3749,0.7273,37.4941,0.0267,27.2696,0.0367,14.6532,399.5858
1.3887,0.7201,38.869,0.0257,27.9897,0.0357,15.0995,422.6291
1.4026,0.713,40.2577,0.0248,28.7027,0.0348,15.5441,446.1572
1.4166,0.7059,41.6603,0.024,29.4086,0.034,15.9871,470.1583
1.4308,0.6989,43.0769,0.0232,30.1075,0.0332,16.4285,494.6207
1.4889,0.6717,48.8864,0.0205,32.8347,0.0305,18.1776,596.8561
1.6122,0.6203,61.2226,0.0163,37.974,0.0263,21.5976,820.146
1.6446,0.608,64.4632,0.0155,39.1961,0.0255,22.4363,879.4176
1.8167,0.5504,81.6697,0.0122,44.955,0.0222,26.5333,1192.8061
2.0471,0.4885,104.7099,0.0096,51.1504,0.0196,31.2386,1597.8673
2.2167,0.4511,121.6715,0.0082,54.8882,0.0182,34.2492,1879.8771
2.3067,0.4335,130.6723,0.0077,56.6485,0.0177,35.717,2023.3153
2.4486,0.4084,144.8633,0.0069,59.1609,0.0169,37.8724,2240.5675
2.5993,0.3847,159.9273,0.0063,61.5277,0.0163,39.9727,2459.4298
2.7048,0.3697,170.4814,0.0059,63.0289,0.0159,41.3426,2605.7758
2.9289,0.3414,192.8926,0.0052,65.8578,0.0152,44.0103,2898.4203
3.3004,0.303,230.0387,0.0043,69.7005,0.0143,47.8349,3334.1148
10.8926,0.0918,989.2554,0.001,90.8194,0.011,75.7393,6878.6016
35.9496,0.0278,3494.9641,0.0003,97.2183,0.0103,89.6995,8720.4323
