Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.09,0.9174,1.0,1.0,0.9174,1.09,0.0,0.0
1.1881,0.8417,2.09,0.4785,1.7591,0.5685,0.4785,0.8417
1.295,0.7722,3.2781,0.3051,2.5313,0.3951,0.9426,2.386
1.4116,0.7084,4.5731,0.2187,3.2397,0.3087,1.3925,4.5113
1.5386,0.6499,5.9847,0.1671,3.8897,0.2571,1.8282,7.111
1.6771,0.5963,7.5233,0.1329,4.4859,0.2229,2.2498,10.0924
1.828,0.547,9.2004,0.1087,5.033,0.1987,2.6574,13.3746
1.9926,0.5019,11.0285,0.0907,5.5348,0.1807,3.0512,16.8877
2.1719,0.4604,13.021,0.0768,5.9952,0.1668,3.4312,20.5711
2.3674,0.4224,15.1929,0.0658,6.4177,0.1558,3.7978,24.3728
2.5804,0.3875,17.5603,0.0569,6.8052,0.1469,4.151,28.2481
2.8127,0.3555,20.1407,0.0497,7.1607,0.1397,4.491,32.159
3.0658,0.3262,22.9534,0.0436,7.4869,0.1336,4.8182,36.0731
3.3417,0.2992,26.0192,0.0384,7.7862,0.1284,5.1326,39.9633
3.6425,0.2745,29.3609,0.0341,8.0607,0.1241,5.4346,43.8069
3.9703,0.2519,33.0034,0.0303,8.3126,0.1203,5.7245,47.5849
4.3276,0.2311,36.9737,0.027,8.5436,0.117,6.0024,51.2821
4.7171,0.212,41.3013,0.0242,8.7556,0.1142,6.2687,54.886
5.1417,0.1945,46.0185,0.0217,8.9501,0.1117,6.5236,58.3868
5.6044,0.1784,51.1601,0.0195,9.1285,0.1095,6.7674,61.777
6.1088,0.1637,56.7645,0.0176,9.2922,0.1076,7.0006,65.0509
6.6586,0.1502,62.8733,0.0159,9.4424,0.1059,7.2232,68.2048
7.2579,0.1378,69.5319,0.0144,9.5802,0.1044,7.4357,71.2359
7.9111,0.1264,76.7898,0.013,9.7066,0.103,7.6384,74.1433
8.6231,0.116,84.7009,0.0118,9.8226,0.1018,7.8316,76.9265
9.3992,0.1064,93.324,0.0107,9.929,0.1007,8.0156,79.5863
10.2451,0.0976,102.7231,0.0097,10.0266,0.0997,8.1906,82.1241
11.1671,0.0895,112.9682,0.0089,10.1161,0.0989,8.3571,84.5419
12.1722,0.0822,124.1354,0.0081,10.1983,0.0981,8.5154,86.8422
13.2677,0.0754,136.3075,0.0073,10.2737,0.0973,8.6657,89.028
14.4618,0.0691,149.5752,0.0067,10.3428,0.0967,8.8083,91.1024
15.7633,0.0634,164.037,0.0061,10.4062,0.0961,8.9436,93.069
17.182,0.0582,179.8003,0.0056,10.4644,0.0956,9.0718,94.9314
18.7284,0.0534,196.9823,0.0051,10.5178,0.0951,9.1933,96.6935
20.414,0.049,215.7108,0.0046,10.5668,0.0946,9.3083,98.359
31.4094,0.0318,337.8824,0.003,10.7574,0.093,9.7957,105.3762
48.3273,0.0207,525.8587,0.0019,10.8812,0.0919,10.1603,110.5561
74.3575,0.0134,815.0836,0.0012,10.9617,0.0912,10.4295,114.3251
114.4083,0.0087,1260.0918,0.0008,11.014,0.0908,10.6261,117.0362
176.0313,0.0057,1944.7921,0.0005,11.048,0.0905,10.7683,118.9683
270.846,0.0037,2998.2885,0.0003,11.0701,0.0903,10.8702,120.3344
416.7301,0.0024,4619.2232,0.0002,11.0844,0.0902,10.9427,121.2942
641.1909,0.0016,7113.2321,0.0001,11.0938,0.0901,10.994,121.9646
986.5517,0.001,10950.5741,0.0001,11.0998,0.0901,11.0299,122.4306
1517.932,0.0007,16854.8003,0.0001,11.1038,0.0901,11.0551,122.7533
2335.5266,0.0004,25939.1842,0.0,11.1064,0.09,11.0726,122.9758
3593.4971,0.0003,39916.635,0.0,11.108,0.09,11.0847,123.1287
5529.0408,0.0002,61422.6755,0.0,11.1091,0.09,11.093,123.2335
