Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.07,0.9346,1.0,1.0,0.9346,1.07,0.0,0.0
1.1449,0.8734,2.07,0.4831,1.808,0.5531,0.4831,0.8734
1.225,0.8163,3.2149,0.3111,2.6243,0.3811,0.9549,2.506
1.3108,0.7629,4.4399,0.2252,3.3872,0.2952,1.4155,4.7947
1.4026,0.713,5.7507,0.1739,4.1002,0.2439,1.865,7.6467
1.5007,0.6663,7.1533,0.1398,4.7665,0.2098,2.3032,10.9784
1.6058,0.6227,8.654,0.1156,5.3893,0.1856,2.7304,14.7149
1.7182,0.582,10.2598,0.0975,5.9713,0.1675,3.1465,18.7889
1.8385,0.5439,11.978,0.0835,6.5152,0.1535,3.5517,23.1404
1.9672,0.5083,13.8164,0.0724,7.0236,0.1424,3.9461,27.7156
2.1049,0.4751,15.7836,0.0634,7.4987,0.1334,4.3296,32.4665
2.2522,0.444,17.8885,0.0559,7.9427,0.1259,4.7025,37.3506
2.4098,0.415,20.1406,0.0497,8.3577,0.1197,5.0648,42.3302
2.5785,0.3878,22.5505,0.0443,8.7455,0.1143,5.4167,47.3718
2.759,0.3624,25.129,0.0398,9.1079,0.1098,5.7583,52.4461
2.9522,0.3387,27.8881,0.0359,9.4466,0.1059,6.0897,57.5271
3.1588,0.3166,30.8402,0.0324,9.7632,0.1024,6.411,62.5923
3.3799,0.2959,33.999,0.0294,10.0591,0.0994,6.7225,67.6219
3.6165,0.2765,37.379,0.0268,10.3356,0.0968,7.0242,72.5991
3.8697,0.2584,40.9955,0.0244,10.594,0.0944,7.3163,77.5091
4.1406,0.2415,44.8652,0.0223,10.8355,0.0923,7.599,82.3393
4.4304,0.2257,49.0057,0.0204,11.0612,0.0904,7.8725,87.0793
4.7405,0.2109,53.4361,0.0187,11.2722,0.0887,8.1369,91.7201
5.0724,0.1971,58.1767,0.0172,11.4693,0.0872,8.3923,96.2545
5.4274,0.1842,63.249,0.0158,11.6536,0.0858,8.6391,100.6765
5.8074,0.1722,68.6765,0.0146,11.8258,0.0846,8.8773,104.9814
6.2139,0.1609,74.4838,0.0134,11.9867,0.0834,9.1072,109.1656
6.6488,0.1504,80.6977,0.0124,12.1371,0.9824,9.3289,113.2264
7.1143,0.1406,87.3465,0.0114,12.2777,0.0814,9.5427,117.1622
7.6123,0.1314,94.4608,0.0106,12.409,0.0806,9.7487,120.9718
8.1451,0.1228,102.073,0.0098,12.5318,0.0798,9.9471,124.655
8.7153,0.1147,110.2182,0.0091,12.6466,0.0791,10.1381,128.212
9.3253,0.1072,118.9334,0.0084,12.7538,0.0784,10.3219,131.6435
9.9781,0.1002,128.2588,0.0078,12.854,0.0778,10.4987,134.9507
10.6766,0.0937,138.2369,0.0072,12.9477,0.0772,10.6687,138.1353
14.9745,0.0668,199.6351,0.005,13.3317,0.075,11.4233,152.2928
21.0025,0.0476,285.7493,0.0035,13.6055,0.0735,12.036,163.7559
29.457,0.0339,406.5289,0.0025,13.8007,0.0725,12.5287,172.9051
41.315,0.0242,575.9286,0.0017,13.9399,0.0717,12.9215,180.1243
57.9464,0.0173,813.5204,0.0012,14.0392,0.0712,13.2321,185.7677
81.2729,0.0123,1146.7552,0.0009,14.1099,0.0709,13.476,190.1452
113.9894,0.0088,1614.1342,0.0006,14.1604,0.0706,13.6662,193.5185
159.876,0.0063,2269.6574,0.0004,14.1964,0.0704,13.8136,196.1035
224.2344,0.0045,3189.0627,0.0003,14.222,0.0703,13.9273,198.0748
314.5003,0.0032,4478.5761,0.0002,14.2403,0.0702,14.0146,199.5717
441.103,0.0023,6287.1854,0.0002,14.2533,0.0702,14.0812,200.7042
618.6697,0.0016,8823.8535,0.0001,14.2626,0.0701,14.1319,201.5581
867.7163,0.0012,12381.6618,0.0001,14.2693,0.0701,14.1703,202.2001
