Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.08,0.9259,1.0,1.0,0.9259,1.08,0.0,0.0
1.1664,0.8573,2.08,0.4808,1.7833,0.5608,0.4808,0.8573
1.2597,0.7938,3.2464,0.308,2.5771,0.388,0.9487,2.445
1.3605,0.735,4.5061,0.2219,3.3121,0.3019,1.404,4.6501
1.4693,0.6806,5.8666,0.1705,3.9927,0.2505,1.8465,7.3724
1.5869,0.6302,7.3359,0.1363,4.6229,0.2163,2.2763,10.5233
1.7138,0.5835,8.9228,0.1121,5.2064,0.1921,2.6937,14.0242
1.8509,0.5403,10.6366,0.094,5.7466,0.174,3.0985,17.8061
1.999,0.5002,12.4876,0.0801,6.2469,0.1601,3.491,21.8081
2.1589,0.4632,14.4866,0.069,6.7101,0.149,3.8713,25.9768
2.3316,0.4289,16.6455,0.0601,7.139,0.1401,4.2395,30.2657
2.5182,0.3971,18.9771,0.0527,7.5361,0.1327,4.5957,34.6339
2.7196,0.3677,21.4953,0.0465,7.9038,0.1265,4.9402,39.0463
2.9372,0.3405,24.2149,0.0413,8.2442,0.1213,5.2731,43.4723
3.1722,0.3152,27.1521,0.0368,8.5595,0.1168,5.5945,47.8857
3.4259,0.2919,30.3243,0.033,8.8514,0.113,5.9046,52.264
3.7,0.2703,33.7502,0.0296,9.1216,0.1096,6.2037,56.5883
3.996,0.2502,37.4502,0.0267,9.3719,0.1067,6.492,60.8426
4.3157,0.2317,41.4463,0.0241,9.6036,0.1041,6.7697,65.0134
4.661,0.2145,45.762,0.0219,9.8181,0.1019,7.0369,69.0898
5.0338,0.1987,50.4229,0.0198,10.0168,0.0998,7.294,73.0629
5.4365,0.1839,55.4568,0.018,10.2007,0.098,7.5412,76.9257
5.8715,0.1703,60.8933,0.0164,10.3711,0.0964,7.7786,80.6726
6.3412,0.1577,66.7648,0.015,10.5288,0.095,8.0066,84.2997
6.8485,0.146,73.1059,0.0137,10.6748,0.0937,8.2254,87.8041
7.3964,0.1352,79.9544,0.0125,10.81,0.0925,8.4352,91.1842
7.9881,0.1252,87.3508,0.0114,10.9352,0.0914,8.6363,94.439
8.6271,0.1159,95.3388,0.0105,11.0511,0.0905,8.8289,97.5687
9.3173,0.1073,103.9659,0.0096,11.1584,0.0896,9.0133,100.5738
10.0627,0.0994,113.2832,0.0088,11.2578,0.0888,9.1897,103.4558
10.8677,0.092,123.3459,0.0081,11.3498,0.0881,9.3584,106.2163
11.7371,0.0852,134.2135,0.0075,11.435,0.0875,9.5197,108.8575
12.676,0.0789,145.9506,0.0069,11.5139,0.0869,9.6737,111.3819
13.6901,0.073,158.6267,0.0063,11.5869,0.0863,9.8208,113.7924
14.7853,0.0676,172.3168,0.0058,11.6546,0.0858,9.9611,116.092
21.7245,0.046,259.0565,0.0039,11.9246,0.0839,10.5699,126.0422
31.9204,0.0313,386.5056,0.0026,12.1084,0.0826,11.0447,133.7331
46.9016,0.0213,573.7702,0.0017,12.2335,0.0817,11.4107,139.5928
68.9139,0.0145,848.9232,0.0012,12.3186,0.0812,11.6902,144.0065
101.2571,0.0099,1253.2133,0.0008,12.3766,0.0808,11.9015,147.3
148.7798,0.0067,1847.2481,0.0005,12.416,0.0805,12.0602,149.7387
218.6064,0.0046,2720.0801,0.0004,12.4428,0.0804,12.1783,151.5326
321.2045,0.0031,4002.5566,0.0002,12.4611,0.0802,12.2658,152.8448
471.9548,0.0021,5886.9354,0.0002,12.4735,0.0802,12.3301,153.8001
693.4565,0.0014,8655.7061,0.0001,12.482,0.0801,12.3772,154.4925
1018.9151,0.001,12723.9386,0.0001,12.4877,0.0801,12.4116,154.9925
1497.1205,0.0007,18701.5069,0.0001,12.4917,0.0801,12.4365,155.3524
2199.7613,0.0005,27484.5157,0.0,12.4943,0.08,12.4545,155.6107
