Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.14,0.8772,1.0,1.0,0.8772,1.14,0.0,0.0
1.2996,0.7695,2.14,0.4673,1.6467,0.6073,0.4673,0.7695
1.4815,0.675,3.4396,0.2907,2.3216,0.4307,0.9129,2.1194
1.689,0.5921,4.9211,0.2032,2.9137,0.3432,1.337,3.8957
1.9254,0.5194,6.6101,0.1513,3.4331,0.2913,1.7399,5.9731
2.195,0.4556,8.5355,0.1172,3.8887,0.2572,2.1218,8.2511
2.5023,0.3996,10.7305,0.0932,4.2883,0.2332,2.4832,10.6489
2.8526,0.3506,13.2328,0.0756,4.6389,0.2156,2.8246,13.1028
3.2519,0.3075,16.0853,0.0622,4.9464,0.2022,3.1463,15.5629
3.7072,0.2697,19.3373,0.0517,5.2161,0.1917,3.449,17.9906
4.2262,0.2366,23.0445,0.0434,5.4527,0.1834,3.7333,20.3567
4.8179,0.2076,27.2707,0.0367,5.6603,0.1767,3.9998,22.6399
5.4924,0.1821,32.0887,0.0312,5.8424,0.1712,4.2491,24.8247
6.2613,0.1597,37.5811,0.0266,6.0021,0.1666,4.4819,26.9009
7.1379,0.1401,43.8424,0.0228,6.1422,0.1628,4.699,28.8623
8.1372,0.1229,50.9804,0.0196,6.2651,0.1596,4.9011,30.7057
9.2765,0.1078,59.1176,0.0169,6.3729,0.1569,5.0888,32.4305
10.5752,0.0946,68.3941,0.0146,6.4674,0.1546,5.263,34.038
12.0557,0.0829,78.9692,0.0127,6.5504,0.1527,5.4243,35.5311
13.7435,0.0728,91.0249,0.011,6.6231,0.151,5.5734,36.9135
15.6676,0.0638,104.7684,0.0095,6.687,0.1495,5.7111,38.1901
17.861,0.056,120.436,0.0083,6.7429,0.1483,5.8381,39.3658
20.3616,0.0491,138.297,0.0072,6.7921,0.1472,5.9549,40.4463
23.2122,0.0431,158.6586,0.0063,6.8351,0.1463,6.0624,41.4371
26.4619,0.0378,181.8708,0.0055,6.8729,0.1455,6.161,42.3441
30.1666,0.0331,208.3327,0.0048,6.9061,0.1448,6.2514,43.1728
34.3899,0.0291,238.4993,0.0042,6.9352,0.1442,6.3342,43.9289
39.2045,0.0255,272.8892,0.0037,6.9607,0.1437,6.41,44.6176
44.6931,0.0224,312.0937,0.0032,6.983,0.1432,6.4791,45.2441
50.9502,0.0196,356.7868,0.0028,7.0027,0.1428,6.5423,45.8132
58.0832,0.0172,407.737,0.0025,7.0199,0.1425,6.5998,46.3297
66.2148,0.0151,465.8202,0.0021,7.035,0.1421,6.6522,46.7979
75.4849,0.0132,532.035,0.0019,7.0482,0.1419,6.6998,47.2218
86.0528,0.0116,607.5199,0.0016,7.0599,0.1416,6.7431,47.6053
98.1002,0.0102,693.5727,0.0014,7.07,0.1414,6.7824,47.9519
188.8835,0.0053,1342.0251,0.0007,7.105,0.1407,6.93,49.2376
363.6791,0.0027,2590.5648,0.0004,7.1232,0.1404,7.0188,49.9963
700.233,0.0014,4994.5213,0.0002,7.1327,0.1402,7.0714,50.4375
