Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.3,0.7692,1.0,1.0,0.7692,1.3,0.0,0.0
1.69,0.5917,2.3,0.4348,1.3609,0.7348,0.4348,0.5917
2.197,0.4552,3.99,0.2506,1.8161,0.5506,0.8271,1.502
2.8561,0.3501,6.187,0.1616,2.1662,0.4616,1.1783,2.5524
3.7129,0.2693,9.0431,0.1106,2.4356,0.4106,1.4903,3.6297
4.8268,0.2072,12.756,0.0784,2.6427,0.3784,1.7654,4.6656
6.2749,0.1594,17.5828,0.0569,2.8021,0.3569,2.0063,5.6218
8.1573,0.1226,23.8577,0.0419,2.9247,0.3419,2.2156,6.48
10.6045,0.0943,32.015,0.0312,3.019,0.3312,2.3963,7.2343
13.7858,0.0725,42.6195,0.0235,3.0915,0.3235,2.5512,7.8872
17.9216,0.0558,56.4053,0.0177,3.1473,0.3177,2.6833,8.4452
23.2981,0.0429,74.327,0.0135,3.1903,0.3135,2.7952,8.9173
30.2875,0.033,97.625,0.0102,3.2233,0.3102,2.8895,9.3135
39.3738,0.0254,127.9125,0.0078,3.2487,0.3078,2.9685,9.6437
51.1859,0.0195,167.2863,0.006,3.2682,0.306,3.0344,9.9172
66.5417,0.015,218.4722,0.0046,3.2832,0.3046,3.0892,10.1426
86.5042,0.0116,285.0139,0.0035,3.2948,0.3035,3.1345,10.3276
112.4554,0.0089,371.518,0.0027,3.3037,0.3027,3.1718,10.4788
146.192,0.0068,483.9734,0.0021,3.3105,0.3021,3.2025,10.6019
190.0496,0.0053,630.1655,0.0016,3.3158,0.3016,3.2275,10.7019
247.0645,0.004,820.2151,0.0012,3.3198,0.3012,3.248,10.7828
321.1839,0.0031,1067.2796,0.0009,3.323,0.3009,3.2646,10.8482
417.5391,0.0024,1388.4635,0.0007,3.3254,0.3007,3.2781,10.9009
542.8008,0.0018,1806.0026,0.0006,3.3272,0.3006,3.289,10.9433
705.641,0.0014,2348.8033,0.0004,3.3286,0.3004,3.2979,10.9773
917.3333,0.0011,3054.4443,0.0003,3.3297,0.3003,3.305,11.0045
1192.5333,0.0008,3971.7776,0.0003,3.3305,0.3003,3.3107,11.0263
1550.2933,0.0006,5164.3109,0.0002,3.3312,0.3002,3.3153,11.0437
2015.3813,0.0005,6714.6042,0.0001,3.3317,0.3001,3.3189,11.0576
2619.9956,0.0004,8729.9855,0.0001,3.3321,0.3001,3.3219,11.0687
3405.9943,0.0003,11349.9811,0.0001,3.3324,0.3001,3.3242,11.0775
4427.7926,0.0002,14755.9755,0.0001,3.3326,0.3001,3.3261,11.0845
5756.1304,0.0002,19183.7681,0.0001,3.3328,0.3001,3.3276,11.0901
7482.9696,0.0001,24939.8985,0.0,3.3329,0.3,3.3288,11.0945
9727.8604,0.0001,32422.8681,0.0,3.333,0.3,3.3297,11.098
