Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.0125,0.9877,1.0,1.0,0.9877,1.0125,0.0,0.0
1.0252,0.9755,2.0125,0.4969,1.9631,0.5094,0.4969,0.9755
1.038,0.9634,3.0377,0.3292,2.9265,0.3417,0.9917,2.9023
1.0509,0.9515,4.0756,0.2454,3.8781,0.2579,1.4845,5.7569
1.0641,0.9398,5.1266,0.1951,4.8178,0.2076,1.9752,9.516
1.0774,0.9282,6.1907,0.1615,5.746,0.174,2.4638,14.1569
1.0909,0.9167,7.268,0.1376,6.6627,0.1501,2.9503,19.6571
1.1045,0.9054,8.3589,0.1196,7.5681,0.1321,3.4348,25.9949
1.1183,0.8942,9.4634,0.1057,8.4623,0.1182,3.9172,33.1487
1.1323,0.8832,10.5817,0.0945,9.3455,0.107,4.3975,41.0973
1.1464,0.8723,11.7139,0.0854,10.2178,0.0979,4.8758,49.8201
1.1608,0.8615,12.8604,0.0778,11.0793,0.0903,5.352,59.2967
1.1753,0.8509,14.0211,0.0713,11.9302,0.0838,5.8262,69.5072
1.19,0.8404,15.1964,0.0658,12.7706,0.0783,6.2982,80.432
1.2048,0.83,16.3863,0.061,13.6005,0.0735,6.7682,92.0519
1.2199,0.8197,17.5912,0.0568,14.4203,0.0693,7.2362,104.3481
1.2351,0.8096,18.8111,0.0532,15.2299,0.0657,7.7021,117.3021
1.2506,0.7996,20.0462,0.0499,16.0295,0.0624,8.1659,130.8958
1.2662,0.7898,21.2968,0.047,16.8193,0.0595,8.6277,145.1115
1.282,0.78,22.563,0.0443,17.5993,0.0568,9.0874,159.9316
1.2981,0.7704,23.845,0.0419,18.3697,0.0544,9.545,175.3392
1.3143,0.7609,25.1431,0.0398,19.1306,0.0523,10.0006,191.3174
1.3307,0.7515,26.4574,0.0378,19.882,0.0503,10.4542,207.8499
1.3474,0.7422,27.7881,0.036,20.6242,0.0485,10.9056,224.9204
1.3642,0.733,29.1354,0.0343,21.3573,0.0468,11.3551,242.5132
1.3812,0.724,30.4996,0.0328,22.0813,0.0453,11.8024,260.6128
1.3985,0.715,31.8809,0.0314,22.7963,0.0439,12.2478,279.204
1.416,0.7062,33.2794,0.03,23.5025,0.0425,12.6911,298.2719
1.4337,0.6975,34.6954,0.0288,24.2,0.0413,13.1323,317.8019
1.4516,0.6889,36.1291,0.0277,24.8889,0.0402,13.5715,337.7797
1.4698,0.6804,37.5807,0.0266,25.5693,0.0391,14.0086,358.1912
1.4881,0.672,39.0504,0.0256,26.2413,0.0381,14.4438,379.0227
1.5067,0.6637,40.5386,0.0247,26.905,0.0372,14.8768,400.2607
1.5256,0.6555,42.0453,0.0238,27.5605,0.0363,15.3079,421.892
1.5446,0.6474,43.5709,0.023,28.2079,0.0355,15.7369,443.9037
1.5639,0.6394,45.1155,0.0222,28.8473,0.0347,16.1639,466.283
1.6436,0.6084,51.4896,0.0194,31.3269,0.0319,17.8515,559.232
1.8154,0.5509,65.2284,0.0153,35.9315,0.0278,21.1299,759.2296
1.861,0.5373,68.8818,0.0145,37.0129,0.027,21.9295,811.6738
2.1072,0.4746,88.5745,0.0113,42.0346,0.0238,25.8083,1084.8429
2.4459,0.4088,115.6736,0.0086,47.2925,0.0211,30.2047,1428.4561
2.7015,0.3702,136.1188,0.0073,50.3867,0.0198,32.9822,1661.8651
2.8391,0.3522,147.129,0.0068,51.8222,0.0193,34.3258,1778.8384
3.0588,0.3269,164.705,0.0061,53.8461,0.0186,36.2855,1953.8303
3.2955,0.3034,183.6411,0.0054,55.7246,0.0179,38.1793,2127.5244
3.4634,0.2887,197.0723,0.0051,56.9013,0.0176,39.4058,2242.2411
3.8253,0.2614,226.0226,0.0044,59.0865,0.0169,41.7737,2468.2636
4.4402,0.2252,275.2171,0.0036,61.9828,0.0161,45.1184,2796.5694
19.7155,0.0507,1497.2395,0.0007,75.9423,0.0132,67.1764,5101.5288
87.541,0.0114,6923.2796,0.0001,79.0861,0.0126,75.8401,5997.9027
