Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.02,0.9804,1.0,1.0,0.9804,1.02,0.0,0.0
1.0404,0.9612,2.02,0.495,1.9416,0.515,0.495,0.9612
1.0612,0.9423,3.0604,0.3268,2.8839,0.3468,0.9868,2.8458
1.0824,0.9238,4.1216,0.2426,3.8077,0.2626,1.4752,5.6173
1.1041,0.9057,5.204,0.1922,4.7135,0.2122,1.9604,9.2403
1.1262,0.888,6.3081,0.1585,5.6014,0.1785,2.4423,13.6801
1.1487,0.8706,7.4343,0.1345,6.472,0.1545,2.9208,18.9035
1.1717,0.8535,8.583,0.1165,7.3255,0.1365,3.3961,24.8779
1.1951,0.8368,9.7546,0.1025,8.1622,0.1225,3.8681,31.572
1.219,0.8203,10.9497,0.0913,8.9826,0.1113,4.3367,38.9551
1.2434,0.8043,12.1687,0.0822,9.7868,0.1022,4.8021,46.9977
1.2682,0.7885,13.4121,0.0746,10.5753,0.0946,5.2642,55.6712
1.2936,0.773,14.6803,0.0681,11.3484,0.0881,5.7231,64.9475
1.3195,0.7579,15.9739,0.0626,12.1062,0.0826,6.1786,74.7999
1.3459,0.743,17.2934,0.0578,12.8493,0.0778,6.6309,85.2021
1.3728,0.7284,18.6393,0.0537,13.5777,0.0737,7.0799,96.1288
1.4002,0.7142,20.0121,0.05,14.2919,0.07,7.5256,107.5554
1.4282,0.7002,21.4123,0.0467,14.992,0.0667,7.9681,119.4581
1.4568,0.6864,22.8406,0.0438,15.6785,0.0638,8.4073,131.8139
1.4859,0.673,24.2974,0.0412,16.3514,0.0612,8.8433,144.6003
1.5157,0.6598,25.7833,0.0388,17.0112,0.0588,9.276,157.7959
1.546,0.6468,27.299,0.0366,17.658,0.0566,9.7055,171.3795
1.5769,0.6342,28.845,0.0347,18.2922,0.0547,10.1317,185.3309
1.6084,0.6217,30.4219,0.0329,18.9139,0.0529,10.5547,199.6305
1.6406,0.6095,32.0303,0.0312,19.5235,0.0512,10.9745,214.2592
1.6734,0.5976,33.6709,0.0297,20.121,0.0497,11.391,229.1987
1.7069,0.5859,35.3443,0.0283,20.7069,0.0483,11.8043,244.4311
1.741,0.5744,37.0512,0.027,21.2813,0.047,12.2145,259.9392
1.7758,0.5631,38.7922,0.0258,21.8444,0.0458,12.6214,275.7064
1.8114,0.5521,40.5681,0.0246,22.3965,0.0446,13.0251,291.7164
1.8476,0.5412,42.3794,0.0236,22.9377,0.0436,13.4257,307.9538
1.8845,0.5306,44.227,0.0226,23.4683,0.0426,13.823,324.4035
1.9222,0.5202,46.1116,0.0217,23.9886,0.0417,14.2172,341.0508
1.9607,0.51,48.0338,0.0208,24.4986,0.0408,14.6083,357.8817
1.9999,0.5,49.9945,0.02,24.9986,0.04,14.9961,374.8826
2.0399,0.4902,51.9944,0.0192,25.4888,0.0392,15.3809,392.0405
2.208,0.4529,60.402,0.0166,27.3555,0.0366,16.8885,461.9931
2.5871,0.3865,79.3535,0.0126,30.6731,0.0326,19.7556,605.9657
2.6916,0.3715,84.5794,0.0118,31.4236,0.0318,20.442,642.3606
3.281,0.3048,114.0515,0.0088,34.7609,0.0288,23.6961,823.6975
4.1611,0.2403,158.057,0.0063,37.9841,0.0263,27.2234,1034.0557
4.8754,0.2051,193.772,0.0052,39.7445,0.0252,29.3572,1166.7868
5.2773,0.1895,213.8666,0.0047,40.5255,0.0247,30.3616,1230.4191
5.9431,0.1683,247.1567,0.004,41.5869,0.024,31.7929,1322.1701
6.6929,0.1494,284.6467,0.0035,42.5294,0.0235,33.137,1409.2973
7.2446,0.138,312.2323,0.0032,43.0984,0.0232,33.9863,1464.7527
8.4883,0.1178,374.4129,0.0027,44.1095,0.0227,35.5774,1569.3025
10.7652,0.0929,488.2582,0.002,45.3554,0.022,37.7114,1710.416
115.8887,0.0086,5744.4368,0.0002,49.5686,0.0202,47.911,2374.88
1247.5611,0.0008,62328.0564,0.0,49.9599,0.02,49.7112,2483.5679
