Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.0175,0.9828,1.0,1.0,0.9828,1.0175,0.0,0.0
1.0353,0.9659,2.0175,0.4957,1.9487,0.5132,0.4957,0.9659
1.0534,0.9493,3.0528,0.3276,2.898,0.3451,0.9884,2.8645
1.0719,0.933,4.1062,0.2435,3.8309,0.261,1.4783,5.6633
1.0906,0.9169,5.1781,0.1931,4.7479,0.2106,1.9653,9.331
1.1097,0.9011,6.2687,0.1595,5.649,0.177,2.4494,13.8367
1.1291,0.8856,7.3784,0.1355,6.5346,0.153,2.9306,19.1506
1.1489,0.8704,8.5075,0.1175,7.4051,0.135,3.4089,25.2435
1.169,0.8554,9.6564,0.1036,8.2605,0.1211,3.8844,32.087
1.1894,0.8407,10.8254,0.0924,9.1012,0.1099,4.3569,39.6535
1.2103,0.8263,12.0148,0.0832,9.9275,0.1007,4.8266,47.9162
1.2314,0.8121,13.2251,0.0756,10.7395,0.0931,5.2934,56.8489
1.253,0.7981,14.4565,0.0692,11.5376,0.0867,5.7573,66.426
1.2749,0.7844,15.7095,0.0637,12.322,0.0812,6.2184,76.6227
1.2972,0.7709,16.9844,0.0589,13.0929,0.0764,6.6765,87.4149
1.3199,0.7576,18.2817,0.0547,13.8505,0.0722,7.1318,98.7792
1.343,0.7446,19.6016,0.051,14.5951,0.0685,7.5842,110.6926
1.3665,0.7318,20.9446,0.0477,15.3269,0.0652,8.0338,123.1328
1.3904,0.7192,22.3112,0.0448,16.0461,0.0623,8.4805,136.0783
1.4148,0.7068,23.7016,0.0422,16.7529,0.0597,8.9243,149.508
1.4395,0.6947,25.1164,0.0398,17.4475,0.0573,9.3653,163.4013
1.4647,0.6827,26.5559,0.0377,18.1303,0.0552,9.8034,177.7385
1.4904,0.671,28.0207,0.0357,18.8012,0.0532,10.2387,192.5
1.5164,0.6594,29.511,0.0339,19.4607,0.0514,10.6711,207.6671
1.543,0.6481,31.0275,0.0322,20.1088,0.0497,11.1007,223.2214
1.57,0.6369,32.5704,0.0307,20.7457,0.0482,11.5274,239.1451
1.5975,0.626,34.1404,0.0293,21.3717,0.0468,11.9513,255.421
1.6254,0.6152,35.7379,0.028,21.987,0.0455,12.3724,272.0321
1.6539,0.6046,37.3633,0.0268,22.5916,0.0443,12.7907,288.9623
1.6828,0.5942,39.0172,0.0256,23.1858,0.0431,13.2061,306.1954
1.7122,0.584,40.7,0.0246,23.7699,0.0421,13.6188,323.7163
1.7422,0.574,42.4122,0.0236,24.3439,0.0411,14.0286,341.5097
1.7727,0.5641,44.1544,0.0226,24.908,0.0401,14.4356,359.5613
1.8037,0.5544,45.9271,0.0218,25.4624,0.0393,14.8398,377.8567
1.8353,0.5449,47.7308,0.021,26.0073,0.0385,15.2412,396.3824
1.8674,0.5355,49.5661,0.0202,26.5428,0.0377,15.6399,415.125
2.0016,0.4996,57.2341,0.0175,28.5942,0.035,17.2066,492.0109
2.2996,0.4349,74.2628,0.0135,32.2938,0.031,20.2084,652.6054
2.3808,0.42,78.9022,0.0127,33.1412,0.0302,20.9317,693.701
2.8318,0.3531,104.6752,0.0096,36.964,0.0271,24.3885,901.4954
3.4872,0.2868,142.1263,0.007,40.7564,0.0245,28.1948,1149.1181
4.0064,0.2496,171.7938,0.0058,42.8799,0.0233,30.5329,1309.2482
4.2943,0.2329,188.245,0.0053,43.8361,0.0228,31.6442,1387.1584
4.7654,0.2098,215.1646,0.0046,45.1516,0.0221,33.2409,1500.8798
5.2882,0.1891,245.0374,0.0041,46.337,0.0216,34.7556,1610.4716
5.6682,0.1764,266.7518,0.0037,47.0615,0.0212,35.7211,1681.0886
6.512,0.1536,314.9738,0.0032,48.3679,0.0207,37.5494,1816.1852
8.0192,0.1247,401.0962,0.0025,50.0171,0.02,40.0469,2003.0269
64.3073,0.0156,3617.5602,0.0003,56.2543,0.0178,53.3518,3001.2678
515.6921,0.0019,29410.9747,0.0,57.032,0.0175,56.4434,3219.0833
