Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.15,0.8696,1.0,1.0,0.8696,1.15,0.0,0.0
1.3225,0.7561,2.15,0.4651,1.6257,0.6151,0.4651,0.7561
1.5209,0.6575,3.4725,0.288,2.2832,0.438,0.9071,2.0712
1.749,0.5718,4.9934,0.2003,2.855,0.3503,1.3263,3.7864
2.0114,0.4972,6.7424,0.1483,3.3522,0.2983,1.7228,5.7751
2.3131,0.4323,8.7537,0.1142,3.7845,0.2642,2.0972,7.9368
2.66,0.3759,11.0668,0.0904,4.1604,0.2404,2.4498,10.1924
3.059,0.3269,13.7268,0.0729,4.4873,0.2229,2.7813,12.4807
3.5179,0.2843,16.7858,0.0596,4.7716,0.2096,3.0922,14.7548
4.0456,0.2472,20.3037,0.0493,5.0188,0.1993,3.3832,16.9795
4.6524,0.2149,24.3493,0.0411,5.2337,0.1911,3.6549,19.1289
5.3503,0.1869,29.0017,0.0345,5.4206,0.1845,3.9082,21.1849
6.1528,0.1625,34.3519,0.0291,5.5831,0.1791,4.1438,23.1352
7.0757,0.1413,40.5047,0.0247,5.7245,0.1747,4.3624,24.9725
8.1371,0.1229,47.5804,0.021,5.8474,0.171,4.565,26.693
9.3576,0.1069,55.7175,0.0179,5.9542,0.1679,4.7522,28.296
10.7613,0.0929,65.0751,0.0154,6.0472,0.1654,4.9251,29.7828
12.3755,0.0808,75.8364,0.0132,6.128,0.1632,5.0843,31.1565
14.2318,0.0703,88.2118,0.0113,6.1982,0.1613,5.2307,32.4213
16.3665,0.0611,102.4436,0.0098,6.2593,0.1598,5.3651,33.5822
18.8215,0.0531,118.8101,0.0084,6.3125,0.1584,5.4883,34.6448
21.6447,0.0462,137.6316,0.0073,6.3587,0.1573,5.601,35.615
24.8915,0.0402,159.2764,0.0063,6.3988,0.1563,5.704,36.4988
28.6252,0.0349,184.1678,0.0054,6.4338,0.1554,5.7979,37.3023
32.919,0.0304,212.793,0.0047,6.4641,0.1547,5.8834,38.0314
37.8568,0.0264,245.712,0.0041,6.4906,0.1541,5.9612,38.6918
43.5353,0.023,283.5688,0.0035,6.5135,0.1535,6.0319,39.289
50.0656,0.02,327.1041,0.0031,6.5335,0.1531,6.096,39.8283
57.5755,0.0174,377.1697,0.0027,6.5509,0.1527,6.1541,40.3146
66.2118,0.0151,434.7451,0.0023,6.566,0.1523,6.2066,40.7526
76.1435,0.0131,500.9569,0.002,6.5791,0.152,6.2541,41.1466
87.5651,0.0114,577.1005,0.0017,6.5905,0.1517,6.297,41.5006
100.6998,0.0099,664.6655,0.0015,6.6005,0.1515,6.3357,41.8184
115.8048,0.0086,765.3654,0.0013,6.6091,0.1513,6.3705,42.1033
133.1755,0.0075,881.1702,0.0011,6.6166,0.1511,6.4019,42.3586
267.8635,0.0037,1779.0903,0.0006,6.6418,0.1506,6.5168,43.283
538.7693,0.0019,3585.1285,0.0003,6.6543,0.1503,6.583,43.8051
1083.6574,0.0009,7217.7163,0.0001,6.6605,0.1501,6.6205,44.0958
