Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.0075,0.9926,1.0,1.0,0.9926,1.0075,0.0,0.0
1.0151,0.9852,2.0075,0.4981,1.9777,0.5056,0.4981,0.9852
1.0227,0.9778,3.0226,0.3308,2.9556,0.3383,0.995,2.9408
1.0303,0.9706,4.0452,0.2472,3.9261,0.2547,1.4907,5.8525
1.0381,0.9633,5.0756,0.197,4.8894,0.2045,1.9851,9.7058
1.0459,0.9562,6.1136,0.1636,5.8456,0.1711,2.4782,14.4866
1.0537,0.949,7.1595,0.1397,6.7946,0.1472,2.9701,20.1808
1.0616,0.942,8.2132,0.1218,7.7366,0.1293,3.4608,26.7747
1.0696,0.935,9.2748,0.1078,8.6716,0.1153,3.9502,34.2544
1.0776,0.928,10.3443,0.0967,9.5996,0.1042,4.4384,42.6064
1.0857,0.9211,11.4219,0.0876,10.5207,0.0951,4.9253,51.8174
1.0938,0.9142,12.5076,0.08,11.4349,0.0875,5.411,61.874
1.102,0.9074,13.6014,0.0735,12.3423,0.081,5.8954,72.7632
1.1103,0.9007,14.7034,0.068,13.243,0.0755,6.3786,84.472
1.1186,0.894,15.8137,0.0632,14.137,0.0707,6.8606,96.9876
1.127,0.8873,16.9323,0.0591,15.0243,0.0666,7.3413,110.2973
1.1354,0.8807,18.0593,0.0554,15.905,0.0629,7.8207,124.3887
1.144,0.8742,19.1947,0.0521,16.7792,0.0596,8.2989,139.2494
1.1525,0.8676,20.3387,0.0492,17.6468,0.0567,8.7759,154.8671
1.1612,0.8612,21.4912,0.0465,18.508,0.054,9.2516,171.2297
1.1699,0.8548,22.6524,0.0441,19.3628,0.0516,9.7261,188.3253
1.1787,0.8484,23.8223,0.042,20.2112,0.0495,10.1994,206.142
1.1875,0.8421,25.001,0.04,21.0533,0.0475,10.6714,224.6682
1.1964,0.8358,26.1885,0.0382,21.8891,0.0457,11.1422,243.8923
1.2054,0.8296,27.3849,0.0365,22.7188,0.044,11.6117,263.8029
1.2144,0.8234,28.5903,0.035,23.5422,0.0425,12.08,284.3888
1.2235,0.8173,29.8047,0.0336,24.3595,0.0411,12.547,305.6387
1.2327,0.8112,31.0282,0.0322,25.1707,0.0397,13.0128,327.5416
1.242,0.8052,32.2609,0.031,25.9759,0.0385,13.4774,350.0867
1.2513,0.7992,33.5029,0.0298,26.7751,0.0373,13.9407,373.2631
1.2607,0.7932,34.7542,0.0288,27.5683,0.0363,14.4028,397.0602
1.2701,0.7873,36.0148,0.0278,28.3557,0.0353,14.8636,421.4675
1.2796,0.7815,37.2849,0.0268,29.1371,0.0343,15.3232,446.4746
1.2892,0.7757,38.5646,0.0259,29.9128,0.0334,15.7816,472.0712
1.2989,0.7699,39.8538,0.0251,30.6827,0.0326,16.2387,498.2471
1.3086,0.7641,41.1527,0.0243,31.4468,0.0318,16.6946,524.9924
1.3483,0.7416,46.4465,0.0215,34.4469,0.029,18.5058,637.4693
1.4314,0.6986,57.5207,0.0174,40.1848,0.0249,22.0691,886.8404
1.453,0.6883,60.3943,0.0166,41.5664,0.0241,22.9476,953.8486
1.5657,0.6387,75.4241,0.0133,48.1734,0.0208,27.2665,1313.5189
1.7126,0.5839,95.007,0.0105,55.4768,0.018,32.2882,1791.2463
1.818,0.55,109.0725,0.0092,59.9944,0.0167,35.5391,2132.1472
1.8732,0.5338,116.4269,0.0086,62.154,0.0161,37.1357,2308.1283
1.9591,0.5104,127.879,0.0078,65.2746,0.0153,39.4946,2577.9961
2.0489,0.4881,139.8562,0.0072,68.2584,0.0147,41.8107,2853.9352
2.1111,0.4737,148.1445,0.0068,70.1746,0.0143,43.3311,3040.7453
2.2411,0.4462,165.4832,0.006,73.8394,0.0135,46.3154,3419.9041
2.4514,0.4079,193.5143,0.0052,78.9417,0.0127,50.6521,3998.5621
6.0092,0.1664,667.8869,0.0015,111.145,0.009,85.421,9494.1162
14.7306,0.0679,1830.7435,0.0005,124.2819,0.008,107.1145,13312.3871
