Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.06,0.9434,1.0,1.0,0.9434,1.06,0.0,0.0
1.1236,0.89,2.06,0.4854,1.8334,0.5454,0.4854,0.89
1.191,0.8396,3.1836,0.3141,2.673,0.3741,0.9612,2.5692
1.2625,0.7921,4.3746,0.2286,3.4651,0.2886,1.4272,4.9455
1.3382,0.7473,5.6371,0.1774,4.2124,0.2374,1.8836,7.9345
1.4185,0.705,6.9753,0.1434,4.9173,0.2034,2.3304,11.4594
1.5036,0.6651,8.3938,0.1191,5.5824,0.1791,2.7676,15.4497
1.5938,0.6274,9.8975,0.101,6.2098,0.161,3.1952,19.8416
1.6895,0.5919,11.4913,0.087,6.8017,0.147,3.6133,24.5768
1.7908,0.5584,13.1808,0.0759,7.3601,0.1359,4.022,29.6023
1.8983,0.5268,14.9716,0.0668,7.8869,0.1268,4.4213,34.8702
2.0122,0.497,16.8699,0.0593,8.3838,0.1193,4.8113,40.3369
2.1329,0.4688,18.8821,0.053,8.8527,0.113,5.192,45.9629
2.2609,0.4423,21.0151,0.0476,9.295,0.1076,5.5635,51.7128
2.3966,0.4173,23.276,0.043,9.7122,0.103,5.926,57.5546
2.5404,0.3936,25.6725,0.039,10.1059,0.099,6.2794,63.4592
2.6928,0.3714,28.2129,0.0354,10.4773,0.0954,6.624,69.4011
2.8543,0.3503,30.9057,0.0324,10.8276,0.0924,6.9597,75.3569
3.0256,0.3305,33.76,0.0296,11.1581,0.0896,7.2867,81.3062
3.2071,0.3118,36.7856,0.0272,11.4699,0.0872,7.6051,87.2304
3.3996,0.2942,39.9927,0.025,11.7641,0.085,7.9151,93.1136
3.6035,0.2775,43.3923,0.023,12.0416,0.083,8.2166,98.9412
3.8197,0.2618,46.9958,0.0213,12.3034,0.0813,8.5099,104.7007
4.0489,0.247,50.8156,0.0197,12.5504,0.0797,8.7951,110.3812
4.2919,0.233,54.8645,0.0182,12.7834,0.0782,9.0722,115.9732
4.5494,0.2198,59.1564,0.0169,13.0032,0.0769,9.3414,121.4684
4.8223,0.2074,63.7058,0.0157,13.2105,0.0757,9.6029,126.86
5.1117,0.1956,68.5281,0.0146,13.4062,0.0746,9.8568,132.142
5.4184,0.1846,73.6398,0.0136,13.5907,0.0736,10.1032,137.3096
5.7435,0.1741,79.0582,0.0126,13.7648,0.0726,10.3422,142.3588
6.0881,0.1643,84.8017,0.0118,13.9291,0.0718,10.574,147.2864
6.4534,0.155,90.8898,0.011,14.084,0.071,10.7988,152.0901
6.8406,0.1462,97.3432,0.0103,14.2302,0.0703,11.0166,156.7681
7.251,0.1379,104.1838,0.0096,14.3681,0.0696,11.2276,161.3192
7.6861,0.1301,111.4348,0.009,14.4982,0.069,11.4319,165.7427
10.2857,0.0972,154.762,0.0065,15.0463,0.0665,12.359,185.9568
13.7646,0.0727,212.7435,0.0047,15.4558,0.0647,13.1413,203.1096
18.4202,0.0543,290.3359,0.0034,15.7619,0.0634,13.7964,217.4574
24.6503,0.0406,394.172,0.0025,15.9905,0.0625,14.3411,229.3222
32.9877,0.0303,533.1282,0.0019,16.1614,0.0619,14.7909,239.0428
44.145,0.0227,719.0829,0.0014,16.2891,0.0614,15.1601,246.945
59.0759,0.0169,967.9322,0.001,16.3845,0.061,15.4613,253.3271
79.0569,0.0126,1300.9487,0.0008,16.4558,0.0608,15.7058,258.4527
105.796,0.0095,1746.5999,0.0006,16.5091,0.0606,15.9033,262.5493
141.5789,0.0071,2342.9817,0.0004,16.5489,0.0604,16.062,265.8096
189.4645,0.0053,3141.0752,0.0003,16.5787,0.0603,16.1891,268.3946
253.5463,0.0039,4209.1042,0.0002,16.6009,0.0602,16.2905,270.4375
339.3021,0.0029,5638.3681,0.0002,16.6175,0.0602,16.3711,272.0471
