Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.11,0.9009,1.0,1.0,0.9009,1.11,0.0,0.0
1.2321,0.8116,2.11,0.4739,1.7125,0.5839,0.4739,0.8116
1.3676,0.7312,3.3421,0.2992,2.4437,0.4092,0.9306,2.274
1.5181,0.6587,4.7097,0.2123,3.1024,0.3223,1.37,4.2502
1.6851,0.5935,6.2278,0.1606,3.6959,0.2706,1.7923,6.624
1.8704,0.5346,7.9129,0.1264,4.2305,0.2364,2.1976,9.2972
2.0762,0.4817,9.7833,0.1022,4.7122,0.2122,2.5863,12.1872
2.3045,0.4339,11.8594,0.0843,5.1461,0.1943,2.9585,15.2246
2.558,0.3909,14.164,0.0706,5.537,0.1806,3.3144,18.352
2.8394,0.3522,16.722,0.0598,5.8892,0.1698,3.6544,21.5217
3.1518,0.3173,19.5614,0.0511,6.2065,0.1611,3.9788,24.6945
3.4985,0.2858,22.7132,0.044,6.4924,0.154,4.2879,27.8388
3.8833,0.2575,26.2116,0.0382,6.7499,0.1482,4.5822,30.929
4.3104,0.232,30.0949,0.0332,6.9819,0.1432,4.8619,33.9449
4.7846,0.209,34.4054,0.0291,7.1909,0.1391,5.1275,36.8709
5.3109,0.1883,39.1899,0.0255,7.3792,0.1355,5.3794,39.6953
5.8951,0.1696,44.5008,0.0225,7.5488,0.1325,5.618,42.4095
6.5436,0.1528,50.3959,0.0198,7.7016,0.1298,5.8439,45.0074
7.2633,0.1377,56.9395,0.0176,7.8393,0.1276,6.0574,47.4856
8.0623,0.124,64.2028,0.0156,7.9633,0.1256,6.259,49.8423
8.9492,0.1117,72.2651,0.0138,8.0751,0.1238,6.4491,52.0771
9.9336,0.1007,81.2143,0.0123,8.1757,0.1223,6.6283,54.1912
11.0263,0.0907,91.1479,0.011,8.2664,0.121,6.7969,56.1864
12.2392,0.0817,102.1742,0.0098,8.3481,0.1198,6.9555,58.0656
13.5855,0.0736,114.4133,0.0087,8.4217,0.1187,7.1045,59.8322
15.0799,0.0663,127.9988,0.0078,8.4881,0.1178,7.2443,61.49
16.7386,0.0597,143.0786,0.007,8.5478,0.117,7.3754,63.0433
18.5799,0.0538,159.8173,0.0063,8.6016,0.1163,7.4982,64.4965
20.6237,0.0485,178.3972,0.0056,8.6501,0.1156,7.6131,65.8542
22.8923,0.0437,199.0209,0.005,8.6938,0.115,7.7206,67.121
25.4104,0.0394,221.9132,0.0045,8.7331,0.1145,7.821,68.3016
28.2056,0.0355,247.3236,0.004,8.7686,0.114,7.9147,69.4007
31.3082,0.0319,275.5292,0.0036,8.8005,0.1136,8.0021,70.4228
34.7521,0.0288,306.8374,0.0033,8.8293,0.1133,8.0836,71.3724
38.5749,0.0259,341.5896,0.0029,8.8552,0.1129,8.1594,72.2538
65.0009,0.0154,581.8261,0.0017,8.9511,0.1117,8.4659,75.7789
109.5302,0.0091,986.6386,0.001,9.0079,0.111,8.6763,78.1551
184.5648,0.0054,1668.7712,0.0006,9.0417,0.1106,8.8185,79.7341
311.0025,0.0032,2818.2042,0.0004,9.0617,0.1104,8.9135,80.7712
524.0572,0.0019,4755.0658,0.0002,9.0736,0.1102,8.9762,81.4461
