Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.03,0.9709,1.0,1.0,0.9709,1.03,0.0,0.0
1.0609,0.9426,2.03,0.4926,1.9135,0.5226,0.4926,0.9426
1.0927,0.9151,3.0909,0.3235,2.8286,0.3535,0.9803,2.7729
1.1255,0.8885,4.1836,0.239,3.7171,0.269,1.4631,5.4383
1.1593,0.8626,5.3091,0.1884,4.5797,0.2184,1.9409,8.8888
1.1941,0.8375,6.4684,0.1546,5.4172,0.1846,2.4138,13.0762
1.2299,0.8131,7.6625,0.1305,6.2303,0.1605,2.8819,17.9547
1.2668,0.7894,8.8923,0.1125,7.0197,0.1425,3.345,23.4806
1.3048,0.7664,10.1591,0.0984,7.7861,0.1284,3.8032,29.6119
1.3439,0.7441,11.4639,0.0872,8.5302,0.1172,4.2565,36.3088
1.3842,0.7224,12.8078,0.0781,9.2526,0.1081,4.7049,43.533
1.4258,0.7014,14.192,0.0705,9.954,0.1005,5.1485,51.2482
1.4685,0.681,15.6178,0.064,10.635,0.094,5.5872,59.4196
1.5126,0.6611,17.0863,0.0585,11.2961,0.0885,6.021,68.0141
1.558,0.6419,18.5989,0.0538,11.9379,0.0838,6.45,77.0002
1.6047,0.6232,20.1569,0.0496,12.5611,0.0796,6.8742,86.3477
1.6528,0.605,21.7616,0.046,13.1661,0.076,7.2936,96.028
1.7024,0.5874,23.4144,0.0427,13.7535,0.0727,7.7081,106.0137
1.7535,0.5703,25.1169,0.0398,14.3238,0.0698,8.1179,116.2788
1.8061,0.5537,26.8704,0.0372,14.8775,0.0672,8.5229,126.7987
1.8603,0.5375,28.6765,0.0349,15.415,0.0649,8.9231,137.5496
1.9161,0.5219,30.5368,0.0327,15.9396,0.0627,9.3186,148.5094
1.9736,0.5067,32.4529,0.0308,16.4436,0.0608,9.7093,159.6566
2.0328,0.4919,34.4265,0.029,16.9355,0.059,10.0954,170.9711
2.0938,0.4776,36.4593,0.0274,17.4131,0.0574,10.4768,182.4336
2.1566,0.4637,38.553,0.0259,17.8768,0.0559,10.8535,194.026
2.2213,0.4502,40.7096,0.0246,18.327,0.0546,11.2255,205.7309
2.2879,0.4371,42.9309,0.0233,18.7641,0.0533,11.593,217.532
2.3566,0.4243,45.2189,0.0221,19.1885,0.0521,11.9558,229.4137
2.4273,0.412,47.5754,0.021,19.6004,0.051,12.3141,241.3613
2.5001,0.4,50.0027,0.02,20.0004,0.05,12.6678,253.3609
2.5751,0.3883,52.5028,0.019,20.3888,0.049,13.0169,265.3993
2.6523,0.377,55.0778,0.0182,20.7658,0.0482,13.3616,277.4642
2.7319,0.366,57.7302,0.0173,21.1318,0.0473,13.7018,289.5437
2.8139,0.3554,60.4621,0.0165,21.4872,0.0465,14.0375,301.6267
3.262,0.3066,75.4013,0.0133,23.1148,0.0433,15.6502,361.7499
3.7816,0.2644,92.7199,0.0108,24.5187,0.0408,17.1556,420.6325
4.3839,0.2281,112.7969,0.0089,25.7298,0.0389,18.5575,477.4803
5.0821,0.1968,136.0716,0.0073,26.7744,0.0373,19.86,531.7411
5.8916,0.1697,163.0534,0.0061,27.6756,0.0361,21.0674,583.0526
6.83,0.1464,194.3328,0.0051,28.4529,0.0351,22.1841,631.201
7.9178,0.1263,230.5941,0.0043,29.1234,0.0343,23.2145,676.0869
9.1789,0.1089,272.6309,0.0037,29.7018,0.0337,24.1634,717.6978
10.6409,0.094,321.363,0.0031,30.2008,0.0331,25.0353,756.0865
12.3357,0.0811,377.857,0.0026,30.6312,0.0326,25.8349,791.3529
14.3005,0.0699,443.3489,0.0023,31.0024,0.0323,26.5667,823.6302
16.5782,0.0603,519.272,0.0019,31.3227,0.0319,27.2351,853.0742
19.2186,0.052,607.2877,0.0016,31.5989,0.0316,27.8444,879.854
