Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.12,0.8929,1.0,1.0,0.8929,1.12,0.0,0.0
1.2544,0.7972,2.12,0.4717,1.6901,0.5917,0.4717,0.7972
1.4049,0.7118,3.3744,0.2963,2.4018,0.4163,0.9246,2.2208
1.5735,0.6355,4.7793,0.2092,3.0373,0.3292,1.3589,4.1273
1.7623,0.5674,6.3528,0.1574,3.6048,0.2774,1.7746,6.397
1.9738,0.5066,8.1152,0.1232,4.1114,0.2432,2.172,8.9302
2.2107,0.4523,10.089,0.0991,4.5638,0.2191,2.5515,11.6443
2.476,0.4039,12.2997,0.0813,4.9676,0.2013,2.9131,14.4714
2.7731,0.3606,14.7757,0.0677,5.3282,0.1877,3.2574,17.3563
3.1058,0.322,17.5487,0.057,5.6502,0.177,3.5847,20.2541
3.4785,0.2875,20.6546,0.0484,5.9377,0.1684,3.8953,23.1288
3.896,0.2567,24.1331,0.0414,6.1944,0.1614,4.1897,25.9523
4.3635,0.2292,28.0291,0.0357,6.4235,0.1557,4.4683,28.7024
4.8871,0.2046,32.3926,0.0309,6.6282,0.1509,4.7317,31.3624
5.4736,0.1827,37.2797,0.0268,6.8109,0.1468,4.9803,33.9202
6.1304,0.1631,42.7533,0.0234,6.974,0.1434,5.2147,36.367
6.866,0.1456,48.8837,0.0205,7.1196,0.1405,5.4353,38.6973
7.69,0.13,55.7497,0.0179,7.2497,0.1379,5.6427,40.908
8.6128,0.1161,63.4397,0.0158,7.3658,0.1358,5.8375,42.9979
9.6463,0.1037,72.0524,0.0139,7.4694,0.1339,6.0202,44.9676
10.8038,0.0926,81.6987,0.0122,7.562,0.1322,6.1913,46.8188
12.1003,0.0826,92.5026,0.0108,7.6446,0.1308,6.3514,48.5543
13.5523,0.0738,104.6029,0.0096,7.7184,0.1296,6.501,50.1776
15.1786,0.0659,118.1552,0.0085,7.7843,0.1285,6.6406,51.6929
17.0001,0.0588,133.3339,0.0075,7.8431,0.1275,6.7708,53.1046
19.0401,0.0525,150.3339,0.0067,7.8957,0.1267,6.8921,54.4177
21.3249,0.0469,169.374,0.0059,7.9426,0.1259,7.0049,55.6369
23.8839,0.0419,190.6989,0.0052,7.9844,0.1252,7.1098,56.7674
26.7499,0.0374,214.5828,0.0047,8.0218,0.1247,7.2071,57.8141
29.9599,0.0334,241.3327,0.0041,8.0552,0.1241,7.2974,58.7821
33.5551,0.0298,271.2926,0.0037,8.085,0.1237,7.3811,59.6761
37.5817,0.0266,304.8477,0.0033,8.1116,0.1233,7.4586,60.501
42.0915,0.0238,342.4294,0.0029,8.1354,0.1229,7.5302,61.2612
47.1425,0.0212,384.521,0.0026,8.1566,0.1226,7.5965,61.9612
52.7996,0.0189,431.6635,0.0023,8.1755,0.1223,7.6577,62.6052
93.051,0.0107,767.0914,0.0013,8.2438,0.1213,7.8988,65.1159
163.9876,0.0061,1358.23,0.0007,8.2825,0.1207,8.0572,66.7342
289.0022,0.0035,2400.0182,0.0004,8.3045,0.1204,8.1597,67.7624
509.3206,0.002,4236.005,0.0002,8.317,0.1202,8.2251,68.4082
897.5969,0.0011,7471.6411,0.0001,8.324,0.1201,8.2664,68.81
