Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.35,0.7407,1.0,1.0,0.7407,1.35,0.0,0.0
1.8225,0.5487,2.35,0.4255,1.2894,0.7755,0.4255,0.5487
2.4604,0.4064,4.1725,0.2397,1.6959,0.5897,0.8029,1.3616
3.3215,0.3011,6.6329,0.1508,1.9969,0.5008,1.1341,2.2648
4.484,0.223,9.9544,0.1005,2.22,0.4505,1.422,3.1568
6.0534,0.1652,14.4384,0.0693,2.3852,0.4193,1.6698,3.9828
8.1722,0.1224,20.4919,0.0488,2.5075,0.3988,1.8811,4.717
11.0324,0.0906,28.664,0.0349,2.5982,0.3849,2.0597,5.3515
14.8937,0.0671,39.6964,0.0252,2.6653,0.3752,2.2094,5.8886
20.1066,0.0497,54.5902,0.0183,2.715,0.3683,2.3338,6.3363
27.1439,0.0368,74.6967,0.0134,2.7519,0.3634,2.4364,6.7047
36.6442,0.0273,101.8406,0.0098,2.7792,0.3598,2.5205,7.0049
49.4697,0.0202,138.4848,0.0072,2.7994,0.3572,2.5889,7.2474
66.7841,0.015,187.9544,0.0053,2.8144,0.3553,2.6443,7.4421
90.1585,0.0111,254.7385,0.0039,2.8255,0.3539,2.6889,7.5974
121.7139,0.0082,344.897,0.0029,2.8337,0.3529,2.7246,7.7206
164.3138,0.0061,466.6109,0.0021,2.8398,0.3521,2.753,7.818
221.8236,0.0045,630.9247,0.0016,2.8443,0.3516,2.7756,7.8946
299.4619,0.0033,852.7483,0.0012,2.8476,0.3512,2.7935,2.9547
404.2736,0.0025,1152.2103,0.0009,2.8501,0.3509,2.8075,8.0017
545.7693,0.0018,1556.4838,0.0006,2.8519,0.3506,2.8186,8.0384
736.7886,0.0014,2102.2532,0.0005,2.8533,0.3505,2.8272,8.0669
994.6646,0.001,2839.0418,0.0004,2.8543,0.3504,2.834,8.089
1342.7973,0.0007,3833.7064,0.0003,2.855,0.3503,2.8393,8.1061
1812.7763,0.0006,5176.5037,0.0002,2.8556,0.3502,2.8433,8.1194
2447.248,0.0004,6989.28,0.0001,2.856,0.3501,2.8465,8.1296
3303.7848,0.0003,9436.528,0.0001,2.8563,0.3501,2.849,8.1374
4460.1095,0.0002,12740.3128,0.0001,2.8565,0.3501,2.8509,8.1435
6021.1478,0.0002,17200.4222,0.0001,2.8567,0.3501,2.8523,8.1481
8128.5495,0.0001,23221.57,0.0,2.8568,0.35,2.8535,8.1517
