Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.005,0.995,1.0,1.0,0.995,1.005,0.0,0.0
1.01,0.9901,2.005,0.4988,1.9851,0.5038,0.4988,0.9901
1.0151,0.9851,3.015,0.3317,2.9702,0.3367,0.9967,2.9604
1.0202,0.9802,4.0301,0.2481,3.9505,0.2531,1.4938,5.9011
1.0253,0.9754,5.0503,0.198,4.9259,0.203,1.99,9.8026
1.0304,0.9705,6.0755,0.1646,5.8964,0.1696,2.4855,14.6552
1.0355,0.9657,7.1059,0.1407,6.8621,0.1457,2.9801,20.4493
1.0407,0.9609,8.1414,0.1228,7.823,0.1278,3.4738,27.1755
1.0459,0.9561,9.1821,0.1089,8.7791,0.1139,3.9668,34.8244
1.0511,0.9513,10.228,0.0978,9.7304,0.1028,4.4589,43.3865
1.0564,0.9466,11.2792,0.0887,10.677,0.0937,4.9501,52.8526
1.0617,0.9419,12.3356,0.0811,11.6189,0.0861,5.4406,63.2136
1.067,0.9372,13.3972,0.0746,12.5562,0.0796,5.9302,74.4602
1.0723,0.9326,14.4642,0.0691,13.4887,0.0741,6.419,86.5835
1.0777,0.9279,15.5365,0.0644,14.4166,0.0694,6.9069,99.5743
1.0831,0.9233,16.6142,0.0602,15.3399,0.0652,7.394,113.4238
1.0885,0.9187,17.6973,0.0565,16.2586,0.0615,7.8803,128.1231
1.0939,0.9141,18.7858,0.0532,17.1728,0.0582,8.3658,143.6634
1.0994,0.9096,19.8797,0.0503,18.0824,0.0553,8.8504,160.036
1.1049,0.9051,20.9791,0.0477,18.9874,0.0527,9.3342,177.2322
1.1104,0.9006,22.084,0.0453,19.888,0.0503,9.8172,195.2434
1.116,0.8961,23.1944,0.0431,20.7841,0.0481,10.2993,214.0611
1.1216,0.8916,24.3104,0.0411,21.6757,0.0461,10.7806,233.6768
1.1272,0.8872,25.432,0.0393,22.5629,0.0443,11.2611,254.082
1.1328,0.8828,26.5591,0.0377,23.4456,0.0427,11.7407,275.2686
1.1385,0.8784,27.6919,0.0361,24.324,0.0411,12.2195,297.2281
1.1442,0.874,28.8304,0.0347,25.198,0.0397,12.6975,319.9523
1.1499,0.8697,29.9745,0.0334,26.0677,0.0384,13.1747,343.4332
1.1556,0.8653,31.1244,0.0321,26.933,0.0371,13.651,367.6625
1.1614,0.861,32.28,0.031,27.7941,0.036,14.1265,392.6324
1.1672,0.8567,33.4414,0.0299,28.6508,0.0349,14.6012,418.3348
1.173,0.8525,34.6086,0.0289,29.5033,0.0339,15.075,444.7618
1.1789,0.8482,35.7817,0.0279,30.3515,0.0329,15.548,471.9055
1.1848,0.844,36.9606,0.0271,31.1955,0.0321,16.0202,499.7583
1.1907,0.8398,38.1454,0.0262,32.0354,0.0312,16.4915,528.3123
1.1967,0.8356,39.3361,0.0254,32.871,0.0304,16.9621,557.5598
1.2208,0.8191,44.1588,0.0226,36.1722,0.0276,18.8359,681.3347
1.2705,0.7871,54.0978,0.0185,42.5803,0.0235,22.5437,959.9188
1.2832,0.7793,56.6452,0.0177,44.1428,0.0227,23.4624,1035.6966
1.3489,0.7414,69.77,0.0143,51.7256,0.0193,28.0064,1448.6458
1.432,0.6983,86.4089,0.0116,60.3395,0.0166,33.3504,2012.3478
1.4903,0.671,98.0677,0.0102,65.8023,0.0152,36.8474,2424.6455
1.5204,0.6577,104.0739,0.0096,68.453,0.0146,38.5763,2640.6641
1.5666,0.6383,113.3109,0.0088,72.3313,0.0138,41.1451,2976.0769
1.6141,0.6195,122.8285,0.0081,76.0952,0.0131,43.6845,3324.1846
1.6467,0.6073,129.3337,0.0077,78.5426,0.0127,45.3613,3562.7934
1.7137,0.5835,142.7399,0.007,83.2934,0.012,48.6758,4054.3747
1.8194,0.5496,163.8793,0.0061,90.0735,0.0111,53.5508,4823.5051
3.3102,0.3021,462.0409,0.0022,139.5808,0.0072,96.1131,13415.5395
6.0226,0.166,1004.515,0.001,166.7916,0.006,128.3236,21403.3041
