Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.015,0.9852,1.0,1.0,0.9852,1.015,0.0,0.0
1.0302,0.9707,2.015,0.4963,1.9559,0.5113,0.4963,0.9707
1.0457,0.9563,3.0452,0.3284,2.9122,0.3434,0.9901,2.8833
1.0614,0.9422,4.0909,0.2444,3.8544,0.2594,1.4814,5.7098
1.0773,0.9283,5.1523,0.1941,4.7826,0.2091,1.9702,9.4229
1.0934,0.9145,6.2296,0.1605,5.6972,0.1755,2.4566,13.9956
1.1098,0.901,7.323,0.1366,6.5982,0.1516,2.9405,19.4018
1.1265,0.8877,8.4328,0.1186,7.4859,0.1336,3.4219,25.6157
1.1434,0.8746,9.5593,0.1046,8.3605,0.1196,3.9008,32.6125
1.1605,0.8617,10.7027,0.0934,9.2222,0.1084,4.3772,40.3675
1.1779,0.8489,11.8633,0.0843,10.0711,0.0993,4.8512,48.8568
1.1956,0.8364,13.0412,0.0767,10.9075,0.0917,5.3227,58.0571
1.2136,0.824,14.2368,0.0702,11.7315,0.0852,5.7917,67.9454
1.2318,0.8118,15.4504,0.0647,12.5434,0.0797,6.2582,78.4994
1.2502,0.7999,16.6821,0.0599,13.3432,0.0749,6.7223,89.6974
1.269,0.788,17.9324,0.0558,14.1313,0.0708,7.1839,101.5178
1.288,0.7764,19.2014,0.0521,14.9076,0.0671,7.6431,113.94
1.3073,0.7649,20.4894,0.0488,15.6726,0.0638,8.0997,126.9435
1.327,0.7536,21.7967,0.0459,16.4262,0.0609,8.5539,140.5084
1.3469,0.7425,23.1237,0.0432,17.1686,0.0582,9.0057,154.6154
1.3671,0.7315,24.4705,0.0409,17.9001,0.0559,9.455,169.2453
1.3876,0.7207,25.8376,0.0387,18.6208,0.0537,9.9018,184.3798
1.4084,0.71,27.2251,0.0367,19.3309,0.0517,10.3462,200.0006
1.4295,0.6995,28.6335,0.0349,20.0304,0.0499,10.7881,216.0901
1.4509,0.6892,30.063,0.0333,20.7196,0.0483,11.2276,232.631
1.4727,0.679,31.514,0.0317,21.3986,0.0467,11.6646,249.6065
1.4948,0.669,32.9867,0.0303,22.0676,0.0453,12.0992,267.0002
1.5172,0.6591,34.4815,0.029,22.7267,0.044,12.5313,284.7958
1.54,0.6494,35.9987,0.0278,23.3761,0.0428,12.961,302.9779
1.5631,0.6398,37.5387,0.0266,24.0158,0.0416,13.3883,321.531
1.5865,0.6303,39.1018,0.0256,24.6461,0.0406,13.8131,340.4402
1.6103,0.621,40.6883,0.0246,25.2671,0.0396,14.2355,359.691
1.6345,0.6118,42.2986,0.0236,25.879,0.0386,14.6555,379.2691
1.659,0.6028,43.9331,0.0228,26.4817,0.0378,15.0731,399.1607
1.6839,0.5939,45.5921,0.0219,27.0756,0.0369,15.4882,419.3521
1.7091,0.5851,47.276,0.0212,27.6607,0.0362,15.9009,439.8303
1.814,0.5513,54.2679,0.0184,29.9158,0.0334,17.5277,524.3568
2.0435,0.4894,69.5652,0.0144,34.0426,0.0294,20.6667,703.5462
2.1052,0.475,73.6828,0.0136,34.9997,0.0286,21.4277,749.9636
2.4432,0.4093,96.2147,0.0104,39.3803,0.0254,25.093,988.1674
2.9212,0.3423,128.0772,0.0078,43.8447,0.0228,29.1893,1279.7938
3.2907,0.3039,152.7109,0.0065,46.4073,0.0215,31.7423,1473.0741
3.4926,0.2863,166.1726,0.006,47.5786,0.021,32.9668,1568.514
3.8189,0.2619,187.9299,0.0053,49.2099,0.0203,34.7399,1709.5439
4.1758,0.2395,211.7202,0.0047,50.7017,0.0197,36.4381,1847.4725
4.432,0.2256,228.803,0.0044,51.6247,0.0194,37.5295,1937.4506
4.9927,0.2003,266.1778,0.0038,53.3137,0.0188,39.6171,2112.1348
5.9693,0.1675,331.2882,0.003,55.4985,0.018,42.5185,2359.7114
35.6328,0.0281,2308.8544,0.0004,64.7957,0.0154,59.7368,3870.6912
212.7038,0.0047,14113.5854,0.0001,66.3532,0.0151,64.9662,4310.7165
