Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.13,0.885,1.0,1.0,0.885,1.13,0.0,0.0
1.2769,0.7831,2.13,0.4695,1.6681,0.5995,0.4695,0.7831
1.4429,0.6931,3.4069,0.2935,2.3612,0.4235,0.9187,2.1692
1.6305,0.6133,4.8498,0.2062,2.9745,0.3362,1.3479,4.0092
1.8424,0.5428,6.4803,0.1543,3.5172,0.2843,1.7571,6.1802
2.082,0.4803,8.3227,0.1202,3.9975,0.2502,2.1468,8.5818
2.3526,0.4251,10.4047,0.0961,4.4226,0.2261,2.5171,11.1322
2.6584,0.3762,12.7573,0.0784,4.7988,0.2084,2.8685,13.7653
3.004,0.3329,15.4157,0.0649,5.1317,0.1949,3.2014,16.4284
3.3946,0.2946,18.4197,0.0543,5.4262,0.1843,3.5162,19.0797
3.8359,0.2607,21.8143,0.0458,5.6869,0.1758,3.8134,21.6867
4.3345,0.2307,25.6502,0.039,5.9176,0.169,4.0936,24.2244
4.898,0.2042,29.9847,0.0334,6.1218,0.1634,4.3573,26.6744
5.5348,0.1807,34.8827,0.0287,6.3025,0.1587,4.605,29.0232
6.2543,0.1599,40.4175,0.0247,6.4624,0.1547,4.8375,31.2617
7.0673,0.1415,46.6717,0.0214,6.6039,0.1514,5.0552,33.3841
7.9861,0.1252,53.7391,0.0186,6.7291,0.1486,5.2589,35.3876
9.0243,0.1108,61.7251,0.0162,6.8399,0.1462,5.4491,37.2714
10.1974,0.0981,70.7494,0.0141,6.938,0.1441,5.6265,39.0366
11.5231,0.0868,80.9468,0.0124,7.0248,0.1424,5.7917,40.6854
13.0211,0.0768,92.4699,0.0108,7.1016,0.1408,5.9454,42.2214
14.7138,0.068,105.491,0.0095,7.1695,0.1395,6.0881,43.6486
16.6266,0.0601,120.2048,0.0083,7.2297,0.1383,6.2205,44.9718
18.7881,0.0532,136.8315,0.0073,7.2829,0.1373,6.3431,46.196
21.2305,0.0471,155.6196,0.0064,7.33,0.1364,6.4566,47.3264
23.9905,0.0417,176.8501,0.0057,7.3717,0.1357,6.5614,48.3685
27.1093,0.0369,200.8406,0.005,7.4086,0.135,6.6582,49.3276
30.6335,0.0326,227.9499,0.0044,7.4412,0.1344,6.7474,50.209
34.6158,0.0289,258.5834,0.0039,7.4701,0.1339,6.8296,51.0179
39.1159,0.0256,293.1992,0.0034,7.4957,0.1334,6.9052,51.7592
44.201,0.0226,332.3151,0.003,7.5183,0.133,6.9747,52.438
49.9471,0.02,376.5161,0.0027,7.5383,0.1327,7.0385,53.0586
56.4402,0.0177,426.4632,0.0023,7.556,0.1323,7.0971,53.6256
63.7774,0.0157,482.9034,0.0021,7.5717,0.1321,7.1507,54.143
72.0685,0.0139,546.6808,0.0018,7.5856,0.1318,7.1998,54.6148
132.7816,0.0075,1013.7042,0.001,7.6344,0.131,7.3888,56.4087
244.6414,0.0041,1874.1646,0.0005,7.6609,0.1305,7.5076,57.5148
450.7359,0.0022,3459.5071,0.0003,7.6752,0.1303,7.5811,58.187
830.4517,0.0012,6380.3979,0.0002,7.683,0.1302,7.626,58.5909
1530.0535,0.0007,11761.9498,0.0001,7.6873,0.1301,7.6531,58.8313
