Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.0025,0.9975,1.0,1.0,0.9975,1.0025,0.0,0.0
1.005,0.995,2.0025,0.4994,1.9925,0.5019,0.4994,0.995
1.0075,0.9925,3.0075,0.3325,2.9851,0.335,0.9983,2.9801
1.01,0.9901,4.015,0.2491,3.9751,0.2516,1.4969,5.9503
1.0126,0.9876,5.0251,0.199,4.9627,0.2015,1.995,9.9007
1.0151,0.9851,6.0376,0.1656,5.9478,0.1681,2.4927,14.8263
1.0176,0.9827,7.0527,0.1418,6.9305,0.1443,2.99,20.7223
1.0202,0.9802,8.0704,0.1239,7.9107,0.1264,3.4869,27.5839
1.0227,0.9778,9.0905,0.11,8.8885,0.1125,3.9834,35.4061
1.0253,0.9753,10.1133,0.0989,9.8639,0.1014,4.4794,44.1842
1.0278,0.9729,11.1385,0.0898,10.8368,0.0923,4.975,53.9133
1.0304,0.9705,12.1664,0.0822,11.8073,0.0847,5.4702,64.5886
1.033,0.9681,13.1968,0.0758,12.7753,0.0783,5.965,76.2053
1.0356,0.9656,14.2298,0.0703,13.741,0.0728,6.4594,88.7587
1.0382,0.9632,15.2654,0.0655,14.7042,0.068,6.9534,102.2441
1.0408,0.9608,16.3035,0.0613,15.665,0.0638,7.4469,116.6567
1.0434,0.9584,17.3443,0.0577,16.6235,0.0602,7.9401,131.9917
1.046,0.9561,18.3876,0.0544,17.5795,0.0569,8.4328,148.2446
1.0486,0.9537,19.4336,0.0515,18.5332,0.054,8.9251,165.4106
1.0512,0.9513,20.4822,0.0488,19.4845,0.0513,9.417,183.4851
1.0538,0.9489,21.5334,0.0464,20.4334,0.0489,9.9085,202.4634
1.0565,0.9466,22.5872,0.0443,21.38,0.0468,10.3995,222.341
1.0591,0.9442,23.6437,0.0423,22.3241,0.0448,10.8901,243.1131
1.0618,0.9418,24.7028,0.0405,23.266,0.043,11.3804,264.7753
1.0644,0.9395,25.7646,0.0388,24.2055,0.0413,11.8702,287.323
1.0671,0.9371,26.829,0.0373,25.1426,0.0398,12.3596,310.7516
1.0697,0.9348,27.8961,0.0358,26.0774,0.0383,12.8485,335.0566
1.0724,0.9325,28.9658,0.0345,27.0099,0.037,13.3371,360.2334
1.0751,0.9301,30.0382,0.0333,27.94,0.0358,13.8252,386.2776
1.0778,0.9278,31.1133,0.0321,28.8679,0.0346,14.313,413.1847
1.0805,0.9255,32.1911,0.0311,29.7934,0.0336,14.8003,440.9502
1.0832,0.9232,33.2716,0.0301,30.7166,0.0326,15.2872,469.5696
1.0859,0.9209,34.3547,0.0291,31.6375,0.0316,15.7736,499.0386
1.0886,0.9186,35.4406,0.0282,32.5561,0.0307,16.2597,529.3528
1.0913,0.9163,36.5292,0.0274,33.4724,0.0299,16.7454,560.5076
1.0941,0.914,37.6206,0.0266,34.3865,0.0291,17.2306,592.4988
1.105,0.905,42.0132,0.0238,38.0199,0.0263,19.1673,728.7399
1.1273,0.8871,50.9312,0.0196,45.1787,0.0221,23.0209,1040.0552
1.133,0.8826,53.1887,0.0188,46.9462,0.0213,23.9802,1125.7767
1.1616,0.8609,64.6467,0.0155,55.6524,0.018,28.7514,1600.0845
1.1969,0.8355,78.7794,0.0127,65.8169,0.0152,34.4221,2265.5569
1.2211,0.8189,88.4392,0.0113,72.426,0.0138,38.1694,2764.4568
1.2334,0.8108,93.3419,0.0107,75.6813,0.0132,40.0331,3029.7592
1.252,0.7987,100.7885,0.0099,80.5038,0.0124,42.8162,3446.87
1.2709,0.7869,108.3474,0.0092,85.2546,0.0117,45.5844,3886.2832
1.2836,0.779,113.45,0.0088,88.3825,0.0113,47.4216,4191.2417
1.3095,0.7636,123.8093,0.0081,94.5453,0.0106,51.0762,4829.0125
1.3494,0.7411,139.7414,0.0072,103.5618,0.0097,56.5084,5852.1116
1.8208,0.5492,328.302,0.003,180.3109,0.0055,107.5863,19398.9852
2.4568,0.407,582.7369,0.0017,237.1894,0.0042,152.8902,36263.9299
