Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.04,0.9615,1.0,1.0,0.9615,1.04,0.0,0.0
1.0816,0.9246,2.04,0.4902,1.8861,0.5302,0.4902,0.9246
1.1249,0.889,3.1216,0.3203,2.7751,0.3603,0.9739,2.7025
1.1699,0.8548,4.2465,0.2355,3.6299,0.2755,1.451,5.267
1.2167,0.8219,5.4163,0.1846,4.4518,0.2246,1.9216,8.5547
1.2653,0.7903,6.633,0.1508,5.2421,0.1908,2.3857,12.5062
1.3159,0.7599,7.8983,0.1266,6.0021,0.1666,2.8433,17.0657
1.3686,0.7307,9.2142,0.1085,6.7327,0.1485,3.2944,22.1806
1.4233,0.7026,10.5828,0.0945,7.4353,0.1345,3.7391,27.8013
1.4802,0.6756,12.0061,0.0833,8.1109,0.1233,4.1773,33.8814
1.5395,0.6496,13.4864,0.0741,8.7605,0.1141,4.609,40.3772
1.601,0.6246,15.0258,0.0666,9.3851,0.1066,5.0343,47.2477
1.6651,0.6006,16.6268,0.0601,9.9856,0.1001,5.4533,54.4546
1.7317,0.5775,18.2919,0.0547,10.5631,0.0947,5.8659,61.9618
1.8009,0.5553,20.0236,0.0499,11.1184,0.0899,6.2721,69.7355
1.873,0.5339,21.8245,0.0458,11.6523,0.0858,6.672,77.7441
1.9479,0.5134,23.6975,0.0422,12.1657,0.0822,7.0656,85.9581
2.0258,0.4936,25.6454,0.039,12.6593,0.079,7.453,94.3498
2.1068,0.4746,27.6712,0.0361,13.1339,0.0761,7.8342,102.8933
2.1911,0.4564,29.7781,0.0336,13.5903,0.0736,8.2091,111.5647
2.2788,0.4388,31.9692,0.0313,14.0292,0.0713,8.5779,120.3414
2.3699,0.422,34.248,0.0292,14.4511,0.0692,8.9407,129.2024
2.4647,0.4057,36.6179,0.0273,14.8568,0.0673,9.2973,138.1284
2.5633,0.3901,39.0826,0.0256,15.247,0.0656,9.6479,147.1012
2.6658,0.3751,41.6459,0.024,15.6221,0.064,9.9925,156.104
2.7725,0.3607,44.3117,0.0226,15.9828,0.0626,10.3312,165.1212
2.8834,0.3468,47.0842,0.0212,16.3296,0.0612,10.664,174.1385
2.9987,0.3335,49.9676,0.02,16.6631,0.06,10.9909,183.1424
3.1187,0.3207,52.9663,0.0189,16.9837,0.0589,11.312,192.1206
3.2434,0.3083,56.0849,0.0178,17.292,0.0578,11.6274,201.0618
3.3731,0.2965,59.3283,0.0169,17.5885,0.0569,11.9371,209.9556
3.5081,0.2851,62.7015,0.0159,17.8736,0.0559,12.2411,218.7924
3.6484,0.2741,66.2095,0.0151,18.1476,0.0551,12.5396,227.5634
3.7943,0.2636,69.8579,0.0143,18.4112,0.0543,12.8324,236.2607
3.9461,0.2534,73.6522,0.0136,18.6646,0.0536,13.1198,244.8768
4.801,0.2083,95.0255,0.0105,19.7928,0.0505,14.4765,286.5303
5.8412,0.1712,121.0294,0.0083,20.72,0.0483,15.7047,325.4028
7.1067,0.1407,152.6671,0.0066,21.4822,0.0466,16.8122,361.1638
8.6464,0.1157,191.1592,0.0052,22.1086,0.0452,17.807,393.689
10.5196,0.0951,237.9907,0.0042,22.6235,0.0442,18.6972,422.9966
12.7987,0.0781,294.9684,0.0034,23.0467,0.0434,19.4909,449.2014
15.5716,0.0642,364.2905,0.0027,23.3945,0.0427,20.1961,472.4789
18.9453,0.0528,448.6314,0.0022,23.6804,0.0422,20.8206,493.0408
23.0498,0.0434,551.245,0.0018,23.9154,0.0418,21.3718,511.1161
28.0436,0.0357,676.0901,0.0015,24.1085,0.0415,21.8569,526.9384
34.1193,0.0293,827.9833,0.0012,24.2673,0.0412,22.2826,540.7369
41.5114,0.0241,1012.7846,0.001,24.3978,0.041,22.655,552.7307
50.5049,0.0198,1237.6237,0.0008,24.505,0.0408,22.98,563.1249
