Compound Amount Factor,Present Worth Factor,Compound Amount Factor,Sinking Fund Factor,Present Worth Factor,Capital Recovery Factor,Gradient Uniform Series,Gradient Present Worth
"(F/P,i,n)","(P/F,i,n)","(F/A,i,n)","(A/F,i,n)","(P/A,i,n)","(A/P,i,n)","(A/G,i,n)","(P/G,i,n)"
1.18,0.8475,1.0,1.0,0.8475,1.18,0.0,0.0
1.3924,0.7182,2.18,0.4587,1.5656,0.6387,0.4587,0.7182
1.643,0.6086,3.5724,0.2799,2.1743,0.4599,0.8902,1.9354
1.9388,0.5158,5.2154,0.1917,2.6901,0.3717,1.2947,3.4828
2.2878,0.4371,7.1542,0.1398,3.1272,0.3198,1.6728,5.2312
2.6996,0.3704,9.442,0.1059,3.4976,0.2859,2.0252,7.0834
3.1855,0.3139,12.1415,0.0824,3.8115,0.2624,2.3526,8.967
3.7589,0.266,15.327,0.0652,4.0776,0.2452,2.6558,10.8292
4.4355,0.2255,19.0859,0.0524,4.303,0.2324,2.9358,12.6329
5.2338,0.1911,23.5213,0.0425,4.4941,0.2225,3.1936,14.3525
6.1759,0.1619,28.7551,0.0348,4.656,0.2148,3.4303,15.9716
7.2876,0.1372,34.9311,0.0286,4.7932,0.2086,3.647,17.4811
8.5994,0.1163,42.2187,0.0237,4.9095,0.2037,3.8449,18.8765
10.1472,0.0985,50.818,0.0197,5.0081,0.1997,4.025,20.1576
11.9737,0.0835,60.9653,0.0164,5.0916,0.1964,4.1887,21.3269
14.129,0.0708,72.939,0.0137,5.1624,0.1937,4.3369,22.3885
16.6722,0.06,87.068,0.0115,5.2223,0.1915,4.4708,23.3482
19.6733,0.0508,103.7403,0.0096,5.2732,0.1896,4.5916,24.2123
23.2144,0.0431,123.4135,0.0081,5.3162,0.1881,4.7003,24.9877
27.393,0.0365,146.628,0.0068,5.3527,0.1868,4.7978,25.6813
32.3238,0.0309,174.021,0.0057,5.3837,0.1857,4.8851,26.3
38.1421,0.0262,206.3448,0.0048,5.4099,0.1848,4.9632,26.8506
45.0076,0.0222,244.4868,0.0041,5.4321,0.1841,5.0329,27.3394
53.109,0.0188,289.4945,0.0035,5.4509,0.1835,5.095,27.7725
62.6686,0.016,342.6035,0.0029,5.4669,0.1829,5.1502,28.1555
73.949,0.0135,405.2721,0.0025,5.4804,0.1825,5.1991,28.4935
87.2598,0.0115,479.2211,0.0021,5.4919,0.1821,5.2425,28.7915
102.9666,0.0097,566.4809,0.0018,5.5016,0.1818,5.281,29.0537
121.5005,0.0082,669.4475,0.0015,5.5098,0.1815,5.3149,29.2842
143.3706,0.007,790.948,0.0013,5.5168,0.1813,5.3448,29.4864
169.1774,0.0059,934.3186,0.0011,5.5227,0.1811,5.3712,29.6638
199.6293,0.005,1103.496,0.0009,5.5277,0.1809,5.3945,29.8191
235.5625,0.0042,1303.1253,0.0008,5.532,0.1808,5.4149,29.9549
277.9638,0.0036,1538.6878,0.0006,5.5356,0.1806,5.4328,30.0736
327.9973,0.003,1816.6516,0.0006,5.5386,0.1806,5.4485,30.1773
750.3783,0.0013,4163.213,0.0002,5.5482,0.1802,5.5022,30.5269
1716.6839,0.0006,9531.5771,0.0001,5.5523,0.1801,5.5293,30.7006
3927.3569,0.0003,21813.0937,0.0,5.5541,0.18,5.5428,30.7856
